stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,eye,fast.muscle,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,0,144.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,79.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,18.4,0,0,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,3.15,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,3,0,0,0,21,0,0,0,0,0,0,1,0,0,5,0,1,0,0,0,0,13,67,0,0
 24-34,0,0,0.82,0,0,0,0,0,27.09,0,0,0,0,0,0,2.46,0,0.82,9.03,0,7.39,0,0,0,0,26.27,55,0,0
 36-46,0,0,0,0.81,0,0.81,0,0,16.92,0,0,0,0,0.81,0,2.42,0.81,0.81,12.89,0.81,8.06,0,0,0,0,4.83,35.45,0,0.81
 48-58,0,0,0,0,0,0,0,0,21.8,0,0,0,0.57,0.57,0,8.61,0,1.72,8.03,0,5.16,0,0,0,0,4.59,41.89,0,0
 60-70,0,0,0,0,0,0.98,0,0,20.61,0.98,0.98,0,0,0,0,12.76,0,0,7.85,0,7.85,0.98,0,0,0.98,2.94,20.61,0,0
 72-82,0,0,0,0,0.98,2.94,0,0,33.38,0,0,0,0,0,0,17.67,0,1.96,7.85,0,5.89,1.96,0,0,0,1.96,19.63,0,0
 84-94,0,0,0,2.12,1.06,3.19,0,0,31.86,0,0,0,0,1.06,0,7.43,1.06,0,7.43,0,20.18,1.06,0,0,0,9.56,10.62,0,0
 96-106,0,0,0,1.09,0,1.09,1.09,0,28.41,0,0,0,0,1.09,0,4.37,2.19,4.37,1.09,0,17.49,0,0,0,0,4.37,16.39,1.09,0
108-118,0,0,0,0.77,0,3.83,0,0.77,15.32,0,0,0.77,0,1.53,0,4.6,0.77,3.83,3.83,0,13.79,0,0,0,0,4.6,6.89,0,0
120,0,0,0,0,0,1.96,0,0,13.72,0,0,0,1.96,0,1.96,1.96,0,3.92,5.88,0,5.88,0,0,1.96,0,1.96,5.88,0,0
