stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature
  5-6,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,0,5.26,0,0,13.14,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,57.83,5.26,0,0,26.29,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,3.15,0,3.15,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.26,3.15,0,0,34.62,0,0,0,0,3.15,3.15,0,0,0
 14-21,0,0,1,8,2,1,0,0,0,1,1,0,0,0,0,0,0,0,3,0,0,3,26,1,0,0,1,0,5,1,0,4,13,0,0,0
 24-34,0,0,0,0,0,1.64,0,0,0,3.28,0,0,0.82,0,0,0,0,0,3.28,0,0,1.64,77.16,0.82,1.64,0.82,0,2.46,0,0,0,0,19.7,0,0,0
 36-46,0,0,0,0,0,9.67,0,0,0.81,0.81,0,0,0,0.81,0,0,0,0.81,4.83,0,0,1.61,87.01,1.61,0.81,0,0,0.81,0,0,0,0,28.2,0,0.81,0.81
 48-58,0,0,0,1.15,0,16.64,0.57,0,0,4.59,0,0,0.57,0,0,0,0.57,0,5.16,0,0,1.15,87.22,0,0.57,1.15,0,0,0,0,0.57,0,24.1,0,0,1.15
 60-70,0,0,0,0,0,21.59,0,0,0.98,0.98,0,0,0,0,0,0.98,0,0,6.87,0,0,0.98,99.13,0,0,0.98,0,1.96,0,0,0,0,13.74,0,0,0
 72-82,0,0,0,0.98,0,31.41,0.98,0,0.98,3.93,0,0,0,0,0.98,0.98,0,0,4.91,0.98,0,0,71.66,0,1.96,0.98,0,1.96,0,0,0,0,6.87,0.98,0.98,0.98
 84-94,0,0,0,2.12,0,15.93,0,0,1.06,6.37,0,0,0,1.06,0,0,0,1.06,3.19,0,0,0,35.05,0,0,0,0,5.31,0,0,0,0,4.25,0,0,1.06
 96-106,0,0,0,0,0,19.67,0,0,0,6.56,0,0,0,0,0,1.09,0,0,7.65,0,0,0,34.97,0,0,4.37,0,2.19,0,0,0,0,0,0,0,0
108-118,0,0,0,1.53,0,11.49,0,0.77,0.77,3.06,0,0,0,0,0.77,0,0,0,5.36,0,0.77,0,29.87,0,0.77,1.53,0,0.77,0,0,0,0,1.53,0,0,0
120,0,0,1.96,1.96,0,3.92,0,0,0,3.92,0,0,0,1.96,0,0,0,0,3.92,0,0,0,23.52,0,1.96,1.96,0,1.96,0,0,0,0,0,0,0,3.92
