stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,52.71,672.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.25,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,373.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,24.52,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,13.14,0,7.89,0,0,0,23.66,0,0,0,0,23.66,0,0,0,0,0,0,0,0,0,0,0,134.06,10.51,0,0,97.26,0,23.66,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,18.88,0,3.15,0,3.15,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,185.67,3.15,0,0,62.94,0,15.73,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,0,3,43,7,0,15,0,0,2,4,0,0,0,24,1,0,0,8,32,1,0,17,133,47,1,0,5,0,68,23,0,2,29,21,0,0,3,0,5
 24-34,0,0,0,2.46,22.98,0,0,28.73,4.1,1.64,5.75,0.82,0,2.46,0,23.8,8.21,0,1.64,43.51,52.53,0.82,0,24.63,267.6,9.85,13.13,0.82,0,0,109.99,0,0,0,4.1,47.61,0,0,12.31,0,36.94
 36-46,0,0,0,0,10.47,0,0,54.79,2.42,4.03,17.72,2.42,0,2.42,0.81,4.03,14.5,0.81,0,20.95,83.79,1.61,0.81,18.53,255.4,8.86,9.67,4.83,0,0,58.81,0,0,0,0,46.73,0,0,7.25,0,29
 48-58,0.57,0,0,0,9.18,0,0,65.41,2.87,2.3,32.71,1.72,0,1.72,0,5.74,30.99,0.57,1.72,19.51,106.15,2.3,5.74,16.07,230.1,5.16,4.59,2.3,0,0.57,36.15,0,0,0.57,0,37.3,0,0.57,15.49,0,36.72
 60-70,0,0,0,0,13.74,0.98,0,52.02,5.89,4.91,84.41,8.83,0,0,5.89,4.91,76.56,1.96,0,4.91,146.25,2.94,2.94,7.85,274.83,7.85,9.82,1.96,0,0,56.93,0,0,0,0,33.37,0,2.94,6.87,0.98,20.61
 72-82,0,0,1.96,0,29.45,6.87,0,61.84,0.98,11.78,197.31,21.6,0.98,3.93,3.93,22.58,62.83,6.87,0.98,8.83,284.68,1.96,13.74,18.65,383.83,4.91,11.78,7.85,0,2.94,83.44,0,1.96,0,0,24.54,2.94,2.94,23.56,6.87,19.63
 84-94,1.06,0,0,0,54.16,5.31,0,74.34,8.5,4.25,126.38,43.54,1.06,2.12,11.68,30.8,96.65,3.19,2.12,15.93,198.6,4.25,9.56,22.3,199.66,8.5,14.87,4.25,0,1.06,269.76,0,5.31,0,0,15.93,5.31,1.06,12.74,2.12,31.86
 96-106,1.09,0,0,0,65.57,8.74,0,42.62,12.02,4.37,187.97,62.29,0,2.19,14.21,43.71,98.36,3.28,5.46,9.84,189.06,4.37,4.37,13.11,205.46,6.56,18.58,5.46,0,6.56,250.26,0,1.09,0,0,7.65,12.02,2.19,20.76,4.37,42.62
108-118,0,0,0,0,88.09,6.13,1.53,46.72,18.38,3.06,152.43,78.89,0,0.77,9.19,40.6,126.38,6.13,0.77,22.21,176.17,3.06,13.02,16.85,218.3,8.43,12.26,6.13,0,2.3,280.34,0,4.6,0,0,9.19,14.55,3.06,8.43,3.83,38.3
120,0,0,0,0,54.87,3.92,0,23.52,13.72,3.92,156.78,62.71,0,0,7.84,25.48,70.55,0,3.92,9.8,152.86,5.88,9.8,21.56,199.9,7.84,7.84,7.84,0,1.96,152.86,0,3.92,0,0,5.88,5.88,1.96,15.68,3.92,25.48
