stage,axial,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,mesenchyme,mural.cell,muscle,neural,otic,pericytes,periderm,pronephros,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,2.46,1.64,0,0,0,0,0,0,0.82,0,0,0,0,6.57,0,3.28,0.82,0,0,0,0,0.82,0,0.82,0,0
 36-46,0,0,2.42,0,0,0,0,0,0,0,1.61,1.61,0,0,0,11.28,3.22,8.06,1.61,0,0.81,0,0,1.61,0.81,0,0,0
 48-58,0,0,1.72,0,1.15,0,0.57,3.44,0,0.57,2.87,5.74,0,0.57,0,21.23,4.59,5.16,5.74,0,1.15,0,0,1.15,0,0,0,0
 60-70,0,0,0,0,0.98,0,0.98,4.91,0,1.96,0.98,13.74,0,0,0,44.17,8.83,7.85,4.91,0,4.91,0,0,0,1.96,1.96,2.94,0
 72-82,0,0.98,4.91,0,1.96,0.98,0.98,16.69,0.98,1.96,5.89,25.52,0.98,2.94,0,89.33,24.54,14.72,10.8,2.94,2.94,0,0,1.96,0.98,0.98,15.71,0.98
 84-94,1.06,1.06,5.31,0,6.37,0,0,7.43,0,2.12,4.25,31.86,0,5.31,0,50.98,14.87,1.06,8.5,0,3.19,0,1.06,0,4.25,1.06,7.43,0
 96-106,0,0,1.09,1.09,7.65,1.09,0,2.19,0,2.19,5.46,38.25,0,3.28,1.09,64.48,12.02,7.65,12.02,0,8.74,1.09,0,0,1.09,2.19,15.3,0
108-118,0,0,3.06,1.53,4.6,0.77,0.77,3.83,0.77,4.6,4.6,22.98,0,9.19,0.77,81.96,16.09,9.19,15.32,0.77,8.43,0,2.3,0.77,3.83,1.53,13.02,0
120,0,0,1.96,0,3.92,0,0,7.84,5.88,0,9.8,35.28,0,7.84,0,76.43,11.76,7.84,15.68,0,1.96,0,0,0,3.92,0,13.72,1.96
