stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103.85,0,0,0,3.15,0,0,0,0,0,0,3.15,0,0,0
 14-21,0,0,1,277,3,65,0,2,0,2,1,2,4,0,4,0,1,50,222,1,0,14,819,2,1,38,3,0,2,8,2,1,10,246,1,0,7
 24-34,0,0,1.64,84.55,0.82,38.58,0,2.46,0,1.64,1.64,0,5.75,0,5.75,0.82,1.64,48.43,424.38,0,0,10.67,342.3,2.46,1.64,8.21,0,0.82,3.28,0,0,2.46,2.46,36.94,1.64,0,9.85
 36-46,0.81,0,0,4.03,0,2.42,0,0,0.81,0.81,0,0,4.03,0,0,0,0,0,89.43,0,0,2.42,115.21,0,0,1.61,0,0,0.81,0,0,0,0,3.22,0,0,0.81
 48-58,0,0,0,1.15,0,4.02,0,0,0,1.15,0,0,1.72,0.57,0,0,0,0,30.41,0,0,1.15,54.51,0,0,0,0,0,0,0,0,0,0,1.72,0,0,0
 60-70,0,0,0,0,0.98,0,0,0,1.96,0,0,0,0,0,0,0,0,0,17.67,0,0,0,13.74,0,0,0.98,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,2.94,0,0,1.96,1.96,0,0,0,0,0,0,0,0,0.98,0,0,0.98,16.69,0,0,0,0,0,0,0,0,0,0,0,0.98,0,0
 84-94,0,0,0,0,2.12,0,1.06,0,0,0,0,0,0,0,0,0,0,0,5.31,0,2.12,1.06,10.62,0,0,0,0,1.06,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,1.09,3.28,0,0,0,1.09,0,0,0,3.28,0,0,0,1.09,0,1.09,0,2.19,0,3.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0.77,0,0.77,0,0,0.77,0,1.53,0,0,0,0,0,0,0,0.77,0,0.77,0.77,2.3,0,0,0.77,0,0,0,0,0,0,0,0,0,1.53,0
120,0,0,0,1.96,0,0,0,0,1.96,0,0,0,0,1.96,0,0,1.96,0,0,0,0,0,3.92,0,0,1.96,0,1.96,0,0,0,0,0,0,0,0,0
