stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,13.18,144.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0
  5-6,18.39,140.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,2.63,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,15.77,0,0,0,7.89,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,27,0,0,0,0,0,9,0,0,0,0
 24-34,0,0,0,0,0,0,0,5.75,0,0,0,0.82,0,0,0,0,0,0,5.75,0,0,0.82,58.28,41.04,0,0,0,0.82,0.82,5.75,0,0,0,0
 36-46,0,0,0,0,0,0,0,15.31,0,0,0,0.81,0,0,0,0,0,0,4.83,0,0,0,43.51,54.79,0.81,0,0,0,0,5.64,0,0,0.81,0
 48-58,0.57,0,0,0,0,0,0,21.23,0,0,0,1.72,0,0,0,0,0,0,5.16,0,0.57,0,25.82,85.5,0,0.57,0,0.57,0,2.3,0,0,0,0
 60-70,0,0,0,0,0,0,0,29.45,0,0,0,2.94,0,0,0,0,0,0,18.65,0,0,0.98,16.69,100.12,0,0,0,0.98,0,0.98,0,0,0,0
 72-82,0,0,0,0,0,0.98,0,21.6,0,0,0,3.93,0.98,0.98,0,0.98,0,0,60.86,0,0,0,26.5,104.06,0.98,0,0,1.96,0,0.98,0,1.96,0,0
 84-94,0,0,0,0,1.06,0,0,18.05,0,1.06,0,0,1.06,0,0,1.06,0,0,27.61,0,0,0,16.99,156.12,0,0,0,2.12,0,1.06,0,1.06,1.06,1.06
 96-106,2.19,0,2.19,0,4.37,8.74,0,24.04,1.09,1.09,0,8.74,1.09,0,2.19,2.19,1.09,0,46.99,1.09,0,0,17.49,133.33,0,0,0,9.84,0,1.09,1.09,3.28,3.28,1.09
108-118,2.3,0,0,0,3.83,0.77,0.77,42.89,0,0.77,2.3,6.89,0.77,0,0.77,0.77,0,0.77,48.26,0,0,0.77,40.6,160.09,2.3,0.77,0,3.83,0,2.3,0,2.3,2.3,0.77
120,5.88,0,0,0,7.84,0,0,35.28,0,0,1.96,11.76,3.92,1.96,0,1.96,0,0,25.48,0,0,1.96,33.32,290.05,0,0,0,3.92,0,1.96,0,0,0,0
