stage,epidermis,eye,fast_muscle,fin_epithelia,fin_mesenchyme,gut,ionocyte,lateral_line,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle
  7-9,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
 24-34,9.03,0,0.82,0,0.82,0,0,0,0,4.1,0,2.46,0,0,1.64,0.82,0,5.75,0,0.82,0,0,0,0
 36-46,2.42,0.81,0,1.61,0.81,0.81,0.81,0.81,0,5.64,0,0.81,0,0.81,1.61,3.22,0,5.64,0,0,0,0,0,0
 48-58,9.75,1.15,0,2.3,0,0,0,0.57,1.72,6.89,0.57,1.15,0,0,0.57,1.15,0,3.44,0,0,0,0,0,0
 60-70,21.59,2.94,0.98,2.94,0.98,0,0,0,7.85,4.91,0.98,1.96,0,0,0,0.98,0,5.89,0.98,0,0,0,0,0
 72-82,27.49,0.98,0,3.93,0.98,0.98,0,0,9.82,8.83,0,8.83,0,0,0,0.98,0,0.98,0,0,0,0,0,0.98
 84-94,40.36,1.06,0,7.43,0,0,0,0,8.5,7.43,0,3.19,1.06,0,0,2.12,0,5.31,1.06,0,0,1.06,1.06,0
 96-106,46.99,0,0,6.56,0,0,0,0,3.28,6.56,0,2.19,0,2.19,4.37,0,0,5.46,0,0,1.09,2.19,0,0
108-118,54.38,0,0,12.26,0,0,0.77,0,2.3,3.83,0.77,5.36,0,0.77,2.3,0,0,3.83,0,0,0,4.6,0,0
120,84.27,1.96,0,5.88,1.96,0,0,0,5.88,0,1.96,3.92,0,1.96,1.96,0,0,3.92,0,0,0,0,0,0
