stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,7.89,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,35,0,57,3,2,0,0,0,0,0,4,0,5,0,0,0,0,0
 24-34,0,0,1.64,0,0,0,0,0,0,0,0,0,0,0,0,105.07,0,57.46,7.39,3.28,0,0.82,0,0,0.82,0,0,0,4.1,0,0.82,0,0
 36-46,0,0,0,0,2.42,0,4.83,0,0,0,0,0,0,0,0.81,151.47,0.81,66.06,9.67,2.42,0,0,0,0,0,0,0,0,4.83,0.81,0,0,0
 48-58,0,0,0.57,0,10.33,0,5.74,1.72,0,0.57,0.57,0,0,0.57,0,195.09,1.15,44.76,12.05,1.15,0,0.57,0,0,0,0,0,0,1.72,1.15,1.15,0,0.57
 60-70,0,0,0,0,21.59,0,5.89,1.96,0,0,0,0,0,0,0,280.72,4.91,15.7,16.69,0,0,1.96,0,0,0,0,0.98,0,3.93,1.96,0,2.94,0
 72-82,0,0,0,0,70.68,0,12.76,2.94,0,0,0,0,0.98,0,0,319.04,3.93,26.5,15.71,1.96,0.98,0,0,0,0,0,0,0,2.94,4.91,3.93,6.87,0
 84-94,0,0,2.12,0,63.72,0,5.31,4.25,0,1.06,0,0,1.06,0,0,208.16,3.19,19.12,3.19,1.06,0,1.06,0,1.06,2.12,0,0,0,1.06,5.31,2.12,3.19,0
 96-106,0,0,0,0,42.62,0,2.19,1.09,1.09,0,1.09,1.09,0,1.09,0,169.39,0,9.84,15.3,4.37,0,1.09,0,0,0,0,0,0,1.09,4.37,2.19,4.37,0
108-118,0,0,0,0,30.64,0.77,5.36,1.53,0.77,0,1.53,0,0,0,0.77,138.64,0,15.32,8.43,0.77,0,0.77,0,2.3,0,0,0,0,0.77,5.36,2.3,3.06,0
120,0,0,0,1.96,9.8,0,0,0,0,0,0,0,0,0,0,92.11,0,5.88,3.92,3.92,0,0,0,0,0,0,0,0,0,0,0,7.84,0
