stage,blastomeres,epidermis,eye,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,periderm,spinal.cord,taste
  5-6,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,2.63,0,0,0
 10-12,0,0,0,0,0,0,0,3.15,0,0,0
 14-21,0,0,0,0,0,0,0,0,6,0,0
 24-34,0,0,0,0,0,1.64,1.64,0,0,0,0
 36-46,0,0,0,0,0,1.61,2.42,0,0,0,0
 48-58,0,0,0,0,0,2.3,1.15,0,0,0.57,0
 60-70,0,0,0,0,0,0,3.93,0,0,0,0
 72-82,0,0,0,0,0,0,0.98,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,1.06,0,0
 96-106,0,0,1.09,1.09,1.09,1.09,1.09,0,3.28,0,0
108-118,0,1.53,0,0.77,0,0,3.06,0,2.3,0,0.77
120,0,0,0,1.96,0,0,0,0,0,0,0
