stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,13.18,474.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0
  5-6,6.13,122.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,6.13,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,34.17,0,0,0,7.89,2.63,2.63,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,3.15,0,0,0,0,0,0,0,0,18.88,0,0,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,2,4,0,0,0,0,0,0,0,0,0
 24-34,0,0,0.82,0.82,0,0.82,0,0,0,0,0.82,0,0.82,0,0,0,0,0,0.82,4.93,0,16.42,0.82,0,0.82,0,0.82,3.28,0,0.82,0
 36-46,0,0,0,0,0,10.47,0.81,0,0,0,0,0,0,0,0,0,0,0,0,8.86,0,22.56,0.81,0,1.61,0.81,0,0,0.81,0,0
 48-58,0,0,0,1.15,0,59.68,1.72,0,1.15,0,0,0,0.57,0.57,0,0,0,0.57,0,7.46,0,16.64,1.15,0,0.57,0,0,0,0,0,0
 60-70,0,0,0,0,0,171.77,0,0.98,0.98,0,0,0.98,0,0.98,0,0,1.96,0,0.98,16.69,0,24.54,2.94,0,0.98,0,0,0,0.98,0,0
 72-82,0,0,0,0.98,0,176.7,0,0,0.98,0,0,0,0,0.98,0,0,2.94,0,0,14.72,0,34.36,8.83,0,0,0,0,0,0.98,0,0
 84-94,0,0,1.06,1.06,1.06,142.31,0,0,0,1.06,0,1.06,1.06,0,0,0,1.06,0,0,14.87,0,23.36,7.43,0,2.12,0,0,0,0,0,0
 96-106,0,0,1.09,0,0,130.05,0,0,0,0,0,0,1.09,2.19,0,0,1.09,2.19,1.09,7.65,0,48.09,13.11,0,1.09,0,0,0,0,1.09,0
108-118,0,0,0,0,0,75.06,0,0,0.77,0,0,0,0,0.77,0,0.77,3.83,0,0.77,17.62,0,27.57,11.49,0,2.3,0,0,0,0,0.77,0.77
120,0,0,0,0,0,78.39,0,0,0,0,0,1.96,0,1.96,0,0,3.92,0,0,15.68,0,19.6,11.76,0,0,0,0,0,3.92,0,0
