stage,axial,endoderm,epidermis,erythrocytes,eye,glial,hatching.gland,heart,ionocyte,liver,mesenchyme,mucous,muscle,neural,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,vasculature
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,0
 10-12,0,3.15,0,0,0,0,3.15,0,0,0,0,0,0,6.29,3.15,9.44,0,0,0,0
 14-21,0,0,0,0,0,0,0,1,0,0,1,1,1,9,0,291,1,2,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,1.64,0,46.79,0,0,0.82,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,2.42,0,0,0,0.81
 48-58,0,0,0.57,0,0,0,0,0,0,0,0,0,0,2.3,0,0.57,0,0,0,0
 60-70,0,0,0.98,0,3.93,0,0,0,0,0,0,0,0,2.94,0,0,0,0,0,0
 72-82,0,0,2.94,0,1.96,0,0,0,0,0,0,0,0,0,0,0.98,0,0,0,0
 84-94,0,0,5.31,1.06,2.12,0,0,0,0,0,0,0,0,1.06,0,1.06,0,0,0,0
 96-106,0,0,12.02,0,1.09,1.09,0,0,0,1.09,0,0,0,2.19,0,10.93,0,0,0,0
108-118,0,0,6.89,0.77,0.77,0,0,0,3.83,0,0,0,0,0,0,4.6,0,0,0,0.77
120,0,0,7.84,0,0,0,0,0,0,0,0,0,0,1.96,0,5.88,0,0,0,0
