stage,erythrocytes,eye,glial,immune,iridophores,mesenchyme,muscle,neural,periderm,somites,spinal_cord
 10-12,0,0,0,0,0,0,0,3.15,0,0,0
 14-21,0,0,0,0,0,0,0,7,0,2,2
 24-34,0,1.64,0,0,0,0,0,1.64,0.82,0,0
 36-46,0,0,0,0,0,0,0,4.83,0,0,0.81
 48-58,0,1.15,0,0.57,0,0,0,3.44,0,0,0.57
 60-70,0,0.98,1.96,0,0,0.98,0,0.98,0,0,0
 72-82,1.96,0,0,0,0,0.98,0,3.93,0,0,0
 84-94,0,0,1.06,0,1.06,1.06,0,0,0,0,0
 96-106,1.09,0,0,0,0,0,0,0,0,0,0
108-118,0,0.77,0.77,0,0,0,0.77,0.77,0,0,0
120,0,0,0,0,0,0,1.96,1.96,0,0,0
