stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,7.89,0,0,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,60.46,2.63,0,63.09,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,6.29,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147.91,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,4,27,34,0,31,0,0,0,2,17,0,1,0,1,0,0,0,39,0,0,66,453,7,4,0,0,1,1,2,10,0,15,100,0,0,37,0,0
 24-34,0,0,4.1,10.67,2.46,0,24.63,0,0.82,7.39,13.13,7.39,0,3.28,0.82,0,0,0.82,0,88.65,0,2.46,32.01,566.39,0.82,0,0,2.46,0,0,0,1.64,0,7.39,85.37,0,0,123.13,0,0
 36-46,0,0,0,2.42,1.61,0,18.53,0,0,4.83,27.39,1.61,0,3.22,0.81,0,0,2.42,0,159.52,0,15.31,28.2,268.29,0.81,6.45,0,0.81,0,0.81,0,0,0,0,39.48,0,0.81,58.01,0.81,0
 48-58,0,0,0,4.02,1.72,0,42.46,0,0,4.59,86.07,0,0,3.44,3.44,0,0,4.02,0,193.95,0,17.21,16.07,131.98,0,3.44,0,1.72,1.15,0,0,0,0,0,28.69,0,1.72,30.99,0.57,1.72
 60-70,0,0,0,2.94,0.98,0,69.69,0,0,1.96,88.34,0.98,0,0.98,6.87,0.98,0.98,0.98,0,238.51,0,10.8,18.65,91.28,0,0.98,0,6.87,0,0,0,0,0,0,30.43,0,6.87,26.5,2.94,0.98
 72-82,0,0,0,3.93,3.93,0,83.44,0.98,0,7.85,108.96,0.98,0,1.96,6.87,1.96,0,1.96,0,341.62,0,17.67,16.69,83.44,0,2.94,0,12.76,0,0,0,0,0,0,9.82,0,15.71,71.66,13.74,1.96
 84-94,0,0,0,7.43,4.25,0,79.65,0,1.06,3.19,77.53,3.19,0,4.25,9.56,4.25,2.12,1.06,0,198.6,0,29.74,14.87,54.16,0,7.43,0,5.31,1.06,0,0,0,2.12,0,7.43,0,6.37,73.28,11.68,5.31
 96-106,0,1.09,0,4.37,10.93,0,60.11,0,1.09,9.84,64.48,2.19,0,3.28,12.02,1.09,2.19,3.28,2.19,252.45,0,19.67,14.21,59.01,0,16.39,0,20.76,2.19,1.09,0,1.09,0,0,1.09,1.09,13.11,99.45,26.23,5.46
108-118,0,0,0,3.06,3.06,0.77,31.4,0,1.53,5.36,61.28,1.53,0,1.53,10.72,0.77,0,2.3,1.53,218.3,0.77,16.09,18.38,46.72,0,6.13,0,19.15,1.53,0,0,0.77,0,0,2.3,0,9.96,57.45,14.55,9.19
120,0,0,0,9.8,3.92,0,23.52,0,1.96,0,76.43,1.96,0,5.88,13.72,0,0,0,0,174.42,0,1.96,13.72,41.16,0,9.8,0,17.64,0,0,0,0,0,0,3.92,0,11.76,70.55,11.76,1.96
