stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,immune,iridophores,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,26.36,289.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0
  5-6,6.13,98.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,47.32,0,0,0,23.66,0,0,0,0,0,0
 10-12,0,3.15,0,9.44,0,3.15,6.29,0,0,0,0,0,0,0,0,0,50.35,0,0,0,22.03,0,3.15,0,0,0,0
 14-21,0,0,0,0,3,2,1,0,0,0,0,0,0,3,0,1,11,0,0,0,0,0,0,4,7,0,0
 24-34,0,0,0,0,0,0,0.82,0,0,0,0,0,0,3.28,0,0,32.01,0,0,0.82,0,0,0,0,5.75,0,0
 36-46,0,0,0,0,0,0.81,8.86,0.81,1.61,0,0.81,0,0,4.03,0,0,19.34,0.81,0,0,0,0,0,0,5.64,0,0
 48-58,0,0,0,0,0.57,0,12.62,0,1.15,0,0,0,0.57,4.59,0,1.15,17.21,0,0,0,0,0,0,0,2.87,0,0
 60-70,0,0,0,0,0,0,11.78,0,0,0,0,0,0,1.96,0.98,0.98,7.85,0.98,0,0.98,0,0,0,0,0.98,0,0
 72-82,0,0,0.98,0,0,1.96,5.89,0,2.94,0.98,0,0,0,7.85,0,0.98,8.83,0,1.96,0,0,0,0,0,0,0.98,0
 84-94,0,0,0,0,0,0,8.5,1.06,1.06,0,0,0,0,2.12,0,0,3.19,0,0,0,0,0,0,0,0,1.06,1.06
 96-106,0,0,0,0,1.09,0,4.37,0,0,1.09,0,0,0,3.28,0,0,4.37,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,1.53,0.77,4.6,0.77,1.53,0,0,0.77,0,0.77,0,0,6.13,0.77,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
