stage,epidermis,eye,fin_epithelia,gut,immune,melanocytes,mesenchyme,mucous,muscle,neural,olfactory,somites,vasculature,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0
 14-21,1,0,0,0,0,0,0,0,0,0,0,1,0,0
 24-34,2.46,0,0,0,0,0,0,0,0,3.28,0,0,0,0
 36-46,0.81,0,0,0,0,0,1.61,0,0,3.22,0,0,0,0
 48-58,1.15,0,0,0,0,0,0.57,0,0.57,1.15,0,0,0,0
 60-70,0.98,0.98,0.98,0,0,0.98,0.98,0.98,0,0.98,0,0,0,0
 72-82,0.98,0,0,0,0.98,0,0.98,0,0,2.94,0,0,0.98,0
 84-94,9.56,0,1.06,1.06,1.06,0,0,0,0,1.06,0,0,1.06,1.06
 96-106,2.19,0,0,0,8.74,0,2.19,0,0,1.09,0,0,0,0
108-118,2.3,0,2.3,0,3.83,0.77,0.77,0,0,0,0.77,0,0.77,0
120,1.96,0,1.96,0,5.88,0,1.96,0,0,0,0,0,0,0
