stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,iridophores,liver,mesenchyme,mural.cell,muscle,neural,paraxial.mesoderm,periderm,pgc,pronephros,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,3.15,0,0,3.15,0,0,0,0,0
 14-21,1,0,1,15,12,1,0,1,0,0,0,0,16,0,0,0,1,0,1,8,0,1,0,56,0,0,0,0,0
 24-34,0,0,0.82,30.37,3.28,0.82,0,0.82,0,0,0,0,14.78,0,0,4.93,0,0,0,7.39,0,0.82,0,40.22,3.28,0,0,0,0
 36-46,0,0,0,2.42,0.81,0,0,0.81,0,0,0,0.81,11.28,0,0,7.25,0.81,0,0,11.28,0,2.42,0,24.17,2.42,0,0,0,0
 48-58,0,0,0.57,0.57,0,0,0,0,0,0,0,0.57,8.03,0,0,7.46,0,0,0,2.87,0,0.57,0,12.05,0.57,0,0,0,0
 60-70,0,0,3.93,0,0,0,0,6.87,0,0,0,2.94,25.52,0,0.98,7.85,1.96,0,0,33.37,0,0,0,14.72,3.93,0,0,0,0
 72-82,0,0,19.63,2.94,0,0,1.96,10.8,0,0,0,0.98,131.54,0.98,0,8.83,0.98,0,1.96,35.34,0,2.94,0,31.41,2.94,0,0,0,0
 84-94,0,0,21.24,6.37,1.06,0,5.31,3.19,0,1.06,0,3.19,198.6,0,0,20.18,0,0,1.06,23.36,0,1.06,0,82.84,1.06,1.06,1.06,0,0
 96-106,0,0,24.04,6.56,0,1.09,0,3.28,0,0,1.09,2.19,291.79,1.09,1.09,22.95,8.74,0,0,38.25,0,4.37,1.09,81.96,0,0,2.19,0,1.09
108-118,0,0,9.96,12.26,0,0.77,6.13,6.13,0.77,0.77,0.77,4.6,310.98,0,0,36.77,4.6,0,0.77,36,0,2.3,0,67.4,0,0,0,0.77,0
120,0,0,9.8,0,0,0,5.88,1.96,0,0,0,7.84,201.86,0,0,19.6,3.92,1.96,0,17.64,0,1.96,0,41.16,0,0,1.96,0,0
