stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.13,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,0,5.26,0,0,2.63,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0
 14-21,0,1,4,3,130,586,57,0,0,0,12,3,8,4,0,5,0,0,4,4,78,1,0,52,714,24,5,11,13,0,27,0,108,8,44,178,230,0,17,0,0
 24-34,0,0.82,11.49,41.86,804.44,980.1,1257.55,39.4,60.74,24.63,179.77,32.01,18.06,31.19,51.71,87.01,14.78,37.76,49.25,55.82,952.19,35.3,4.1,513.86,8872.63,139.55,126.41,119.02,0,2.46,897.2,1.64,8.21,60.74,101.79,320.13,1847.75,0,285.66,0,86.19
 36-46,0,0,3.22,4.03,187.72,636.48,921.69,20.95,21.75,24.17,165.16,8.86,4.03,14.5,31.42,18.53,9.67,9.67,18.53,30.62,556.72,8.86,7.25,189.33,4661.6,45.92,50.76,36.26,0,1.61,431.03,3.22,0.81,22.56,29,14.5,1062.68,0.81,94.26,0.81,53.17
 48-58,0,0,1.72,1.72,92.38,967.43,1435.09,14.35,27.54,32.71,298.95,6.89,3.44,13.77,20.08,9.75,8.03,11.48,12.05,17.79,656.43,8.03,19.51,122.22,3475.54,23.53,24.67,27.54,0.57,1.72,165.83,0,0.57,5.74,12.05,0.57,786.11,0.57,56.81,0.57,73.45
 60-70,0.98,0,1.96,0,30.43,955.02,667.43,1.96,6.87,9.82,90.3,1.96,1.96,1.96,5.89,1.96,6.87,1.96,2.94,2.94,219.86,0.98,9.82,28.46,1089.49,8.83,6.87,8.83,0,0,54.97,0,0,1.96,3.93,0,149.19,3.93,20.61,1.96,30.43
 72-82,0,0,0.98,0,6.87,320.02,124.67,0,0.98,1.96,28.47,1.96,0,0.98,2.94,0,0,0.98,0,3.93,59.88,0.98,2.94,3.93,224.8,0.98,3.93,3.93,0,0,8.83,0,0,0,0,0,22.58,0.98,2.94,0.98,5.89
 84-94,0,0,1.06,0,3.19,184.79,22.3,3.19,1.06,0,5.31,2.12,0,0,7.43,0,2.12,0,0,0,9.56,0,1.06,2.12,32.92,1.06,0,1.06,0,0,6.37,0,0,1.06,1.06,0,6.37,0,0,0,1.06
 96-106,0,0,0,0,2.19,72.13,12.02,1.09,1.09,0,0,1.09,0,0,0,3.28,0,0,0,0,4.37,0,0,1.09,13.11,1.09,1.09,3.28,0,0,8.74,0,0,0,1.09,0,0,0,0,1.09,0
108-118,0,0,0.77,0,0.77,44.43,3.83,0,0.77,0.77,0.77,0,0,0,0,0.77,0.77,0.77,0.77,0,7.66,0.77,0.77,0,6.89,0,0,0,0,0.77,3.06,0,0,0.77,0,0,0,0,3.06,0,0.77
120,0,0,0,0,0,39.2,5.88,0,0,0,1.96,0,0,0,0,0,0,0,0,0,3.92,0,0,0,9.8,0,0,0,0,0,5.88,0,0,0,0,0,0,0,1.96,0,0
