stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,spinal.cord,vasculature,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,7.89,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.03,0,0,15.73,0,3.15,0,0,0,0
 14-21,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,2,0,0,0,0,1,1,0,0,0
 24-34,0,2.46,0,0,0,0,0,0,0,0,0,0,0.82,0,0,5.75,0,0,0,4.1,0,0,0,1.64,0,1.64,1.64,0,0
 36-46,0,0,0,0,0,0,0,0,0,0.81,0,0,1.61,0,0,2.42,1.61,0,0,2.42,0.81,0,0,0,0,1.61,1.61,0,0
 48-58,0,0,0,0,0,1.15,0,0,0,2.3,0,0,0,0,0,2.3,1.15,0,0,2.87,0,0,0,0.57,0,2.3,0.57,0,0
 60-70,0,0.98,0,0.98,0,2.94,0,0,0.98,6.87,0,0,0,0.98,0.98,6.87,0,0,0,7.85,0,0,0,0,0,1.96,0,0,0
 72-82,0,7.85,0,0,0.98,2.94,0,0.98,0,58.9,0,0,0,0,0,17.67,0.98,0,0,13.74,0,0,0,0,0,3.93,0,2.94,0
 84-94,0,8.5,0,0,0,5.31,1.06,0,1.06,106.2,0,0,0,0,0,59.47,1.06,1.06,0,10.62,1.06,1.06,0,1.06,0,10.62,0,1.06,0
 96-106,0,7.65,0,0,1.09,4.37,0,0,4.37,207.64,0,1.09,1.09,0,0,99.45,6.56,0,1.09,33.88,0,0,0,0,0,8.74,0,0,0
108-118,0,3.83,0,1.53,0,4.6,0,0,2.3,295.66,0.77,0.77,1.53,0,0,128.68,3.83,0.77,0.77,31.4,0,0,0,2.3,0,3.06,0,0,0.77
120,0,3.92,0,0,1.96,1.96,0,0,1.96,121.51,0,0,0,0,0,39.2,0,1.96,0,21.56,1.96,0,0,0,0,0,0,0,0
