stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,0,0,0,0,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,26.29,5.26,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,9.44,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.76,3.15,0,0,9.44,0,0,0,3.15,0,0,3.15,0,0,0,0
 14-21,0,0,0,0,6,0,4,0,0,0,89,1,0,0,0,0,0,0,2,7,0,6,60,3,0,12,1,0,0,3,0,1,6,191,0,0,0,1
 24-34,0,0,0,0,0.82,0.82,7.39,0,7.39,0.82,136.26,0,0,0.82,0.82,0.82,0.82,0.82,22.16,10.67,0,3.28,86.19,2.46,0.82,2.46,0,0,0,0,3.28,0,1.64,212.6,0,0,2.46,0
 36-46,0,0,0,0,0.81,0,10.47,0,0.81,0,52.37,0,0,0,0.81,0,0,0,41.09,9.67,0,0.81,64.45,0,4.03,4.03,0,0,0,0,0.81,0,0,97.49,0,0,0,0
 48-58,0,0,0,0,0.57,0,15.49,0,0,0.57,36.72,0,0,0,0,0,0,0,21.8,6.89,0,1.15,49.92,0,2.87,2.87,0,0,0,0,0,0,0,57.95,0,0,0.57,0
 60-70,0,0,0.98,0,0,0,18.65,0,0,0,34.35,0,0,0,0,0.98,0,0,8.83,5.89,0.98,0,57.91,0,6.87,2.94,0,0,0,0,0,0,0,42.21,0,0,0.98,0
 72-82,0,0,0,0,0,0.98,29.45,0,0,0.98,57.92,0,0,0.98,0,0,0,0,21.6,17.67,0,0,50.06,0.98,6.87,11.78,0,0.98,0,0,0,0,0,31.41,0,0,0,0
 84-94,0,0,0,0,3.19,1.06,30.8,0,0,0,42.48,0,0,2.12,1.06,0,1.06,0,31.86,12.74,0,0,25.49,0,21.24,15.93,0,0,1.06,0,0,0,0,28.68,0,1.06,2.12,0
 96-106,0,0,0,0,4.37,0,16.39,0,0,0,28.41,0,0,2.19,1.09,0,1.09,0,34.97,8.74,1.09,0,15.3,0,17.49,13.11,0,1.09,0,0,0,0,0,31.69,0,0,0,1.09
108-118,0,0,0,0,2.3,0,16.09,0.77,1.53,0,32.17,0,0,0.77,0,0.77,0,0,26.04,3.83,0.77,0.77,22.98,0.77,16.85,9.19,0,0,0,0,0,0,0,27.57,0.77,0,0.77,0.77
120,0,0,0,0,1.96,0,11.76,0,1.96,0,17.64,0,0,1.96,1.96,0,0,0,13.72,3.92,0,0,17.64,0,5.88,5.88,0,0,0,0,0,0,0,13.72,0,0,0,0
