stage,axial,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,taste,vasculature
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,98.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0
  7-9,0,2.63,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,26.29,0,0,0,7.89,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0
 24-34,0,0,116.56,0,0.82,13.13,0,0,0.82,0,0,0,0,0,0,0,0,4.93,0,0,0,0,0,2.46,0.82,0,0,0
 36-46,0,0,47.53,0,0.81,11.28,0.81,0,0,0,0,0,0,0,0,0,0,7.25,0,0.81,0,0,0,0,0,0,0,0
 48-58,0,0,30.99,0,1.15,13.2,0,1.15,0,0,0,0,0,0,0.57,0.57,0,4.02,0,0,0,0,0,0,0,1.15,0,0
 60-70,0,0,26.5,0,0,17.67,0,0,0,0,0,0,0,0,0.98,0.98,0,5.89,0,0,0,0,0,0,0,0,0.98,0
 72-82,0,0,75.59,0,0,20.61,0,2.94,0.98,0,0,1.96,0,0,0.98,0.98,0,3.93,0,1.96,0.98,0,0,0,0,0,0,0
 84-94,0,0,94.52,1.06,2.12,21.24,0,1.06,0,0,0,1.06,0,0,0,0,0,1.06,0,1.06,1.06,0,2.12,1.06,0,0,0,0
 96-106,0,0,114.75,0,1.09,28.41,0,0,1.09,0,0,4.37,0,1.09,2.19,3.28,0,5.46,0,7.65,0,0,0,0,0,0,1.09,1.09
108-118,0,0,124.85,0,1.53,49.02,0,0.77,1.53,0.77,0,0,0.77,0,1.53,1.53,0,2.3,0,1.53,0,0,0,0.77,0,0,0.77,0
120,0,0,101.91,1.96,0,21.56,0,0,0,0,1.96,1.96,1.96,0,3.92,0,0,5.88,1.96,1.96,0,0,0,0,0,0,0,0
