stage,axial,blastomeres,epidermis,eye,glial,heart,immune,ionocyte,iridophores,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,13.18,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,110.33,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,28.92,0,0,0,7.89,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,28.32,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,3,2,0,0,0,0,0,0,0,0,0,24,1,0,0,0,0,1,2,6,0,0,0
 24-34,0,0,0.82,4.93,0,0,0,0,0.82,0,0.82,0,1.64,37.76,0,1.64,0,0,0.82,0,0.82,4.1,0,0,0
 36-46,0,0,0.81,4.03,1.61,0,0,0,0,0,4.03,0,0,14.5,0,0,0,0,0,0,0,6.45,0,0.81,0
 48-58,0,0,1.72,6.31,1.15,0,0,0,0,0,0.57,0,1.15,13.2,0,0,0,0,0.57,0,0,2.87,0,0,0
 60-70,0,0,0,6.87,1.96,0,0.98,0,0,0,5.89,0,0.98,8.83,0,0,0.98,0,0.98,0,0,0,0.98,0,0
 72-82,0,0,2.94,3.93,2.94,0,0,0,0,0,3.93,0,0,11.78,0,0,0,0,0,0,0,0,0.98,0,0.98
 84-94,1.06,0,0,0,1.06,0,0,0,0,0,5.31,0,1.06,2.12,0,0,0,0,0,0,0,1.06,0,0,0
 96-106,0,0,0,0,0,1.09,0,1.09,0,0,1.09,0,0,0,0,0,0,0,0,0,0,1.09,0,1.09,0
108-118,0,0,0,0,0.77,0,0,0,0,0.77,0,0.77,0.77,6.89,0,0,0,0,0,0,0,0,0,0.77,0
120,0,0,1.96,0,1.96,0,0,0,0,0,0,0,0,7.84,0,0,0,0,0,0,0,0,0,0,1.96
