stage,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,147,23,0,0,0
 24-34,0,0,0,0,0.82,1.64,0,0,0,0,0,0,0,0,0,0,0.82,0,2.46,8.21,0,0,0.82,0,0.82,0,0,0,49.25,4.93,1.64,0.82,0
 36-46,0,0,0,0,0.81,5.64,0,0,0,0,0,0,0,0,0,0,1.61,0,0,16.92,0,0.81,0.81,0,3.22,0,0,0,21.75,2.42,4.03,0,0
 48-58,0,0.57,0,0,6.89,9.75,0,0,0,0,0,0,0,0,0,0,1.15,0,1.15,14.35,0,0,1.72,0,0.57,0,0,0,11.48,0,1.72,0.57,0.57
 60-70,0,0,0.98,0,6.87,18.65,0,0,0,0,0,0.98,0,1.96,0.98,0,0.98,0,0.98,10.8,0,0.98,5.89,0.98,3.93,0,0,0,9.82,0,2.94,0,0
 72-82,0,0,0.98,0,3.93,14.72,0,0,3.93,0,0,0,0,0,3.93,0,3.93,0.98,2.94,5.89,0,0,8.83,0,2.94,0,0,0,4.91,0,0,0,0
 84-94,0,2.12,3.19,0,3.19,23.36,0,1.06,1.06,0,0,0,0,0,6.37,1.06,5.31,0,4.25,8.5,0,0,22.3,0,5.31,0,0,0,12.74,0,0,0,0
 96-106,0,3.28,3.28,0,12.02,32.79,0,0,3.28,1.09,0,0,0,0,7.65,1.09,3.28,0,6.56,9.84,0,0,39.34,0,4.37,1.09,0,1.09,19.67,0,1.09,0,0
108-118,0,1.53,0.77,0.77,11.49,49.79,0.77,0,0.77,0.77,0,0,1.53,0,4.6,0.77,1.53,0,8.43,10.72,0.77,0.77,20.68,0,3.83,0,0,0,15.32,0,0,0.77,0
120,0,0,0,0,0,15.68,0,0,1.96,0,0,3.92,0,0,3.92,0,3.92,0,0,5.88,0,0,5.88,0,3.92,0,0,0,7.84,0,0,0,0
