stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,1014.7,6878.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,263.56,0,0,0,0,0,0,0,0,0,0,0
  5-6,1624.35,5222.45,0,42.91,0,0,0,0,0,0,0,0,134.85,0,0,0,0,0,0,0,0,0,0,692.65,55.17,0,0,159.37,0,49.04,0,0,0,0,0,0,0,0,0,0,0
  7-9,628.26,28.92,0,302.3,0,0,15.77,0,0,0,0,0,599.35,0,0,0,0,0,0,0,0,0,0,473.17,499.46,0,0,475.8,0,5.26,31.54,0,0,0,0,0,0,0,0,0,0
 10-12,6.29,15.73,0,346.17,0,0,81.82,0,0,0,0,0,84.97,0,0,0,0,0,0,0,0,0,0,890.59,670.3,0,0,116.44,0,6.29,3.15,0,22.03,0,3.15,0,0,0,0,0,0
 14-21,0,0,3,23,117,18,5,0,0,0,72,14,3,0,0,0,0,0,0,50,0,0,19,231,471,0,0,11,0,3,0,7,1,4,8,625,0,0,7,0,0
 24-34,0,0,2.46,10.67,37.76,0.82,2.46,0,1.64,0.82,67.31,4.1,0,0,0,0,0,0.82,0,32.01,0,0.82,11.49,279.09,30.37,0,0,0,0,9.03,0,0,0,0,3.28,486.77,0,0,18.06,0,0.82
 36-46,0,0,0,2.42,16.11,0,4.03,0,0,0.81,44.31,0.81,0,0,0,0,0.81,1.61,0,19.34,0,4.83,6.45,219.95,8.06,0,0.81,0,0.81,2.42,0,0,0,0,0,319.85,0,0,12.89,0,0
 48-58,0,0,1.15,0.57,21.23,0,3.44,0,0.57,1.72,25.25,0,0,0.57,0.57,0.57,0,0.57,0,11.48,0,4.02,2.87,93.53,5.16,0,0,0,0,3.44,0,0,0,0,0,166.4,0,0.57,3.44,0,0
 60-70,0,0,1.96,0,29.45,0,1.96,0,0.98,0.98,25.52,1.96,0.98,0,0,0,0,0.98,0,3.93,0,0.98,0,39.26,1.96,0,0,0,0,0,0,0,0,0,0,50.06,2.94,0,0.98,0.98,0.98
 72-82,0,0,11.78,0,33.38,0.98,9.82,0,0,0.98,28.47,17.67,0,0,0,0,0,0,0,4.91,0,0.98,0,38.28,0.98,0,0,0,0,0,0.98,0,0,0,0,48.1,21.6,0.98,1.96,0,0
 84-94,0,0,11.68,0,28.68,0,2.12,1.06,0,1.06,29.74,12.74,0,0,0,1.06,1.06,0,1.06,1.06,0,0,1.06,38.23,0,0,0,0,0,1.06,0,0,0,0,0,35.05,88.15,1.06,6.37,2.12,0
 96-106,0,0,7.65,0,29.51,1.09,2.19,0,0,0,13.11,30.6,0,0,0,0,1.09,1.09,0,4.37,1.09,0,0,16.39,2.19,0,0,0,0,2.19,1.09,0,0,0,0,43.71,133.33,0,2.19,0,0
108-118,0,0,4.6,0,13.02,0,0.77,0,3.06,0,16.09,17.62,0,0,0,0.77,0,0.77,0,1.53,1.53,0.77,0,19.15,0,1.53,0,0,0,5.36,0,0,1.53,0,0,20.68,163.15,0,0.77,0.77,0
120,0,0,0,0,9.8,0,1.96,0,1.96,0,5.88,13.72,0,0,1.96,1.96,1.96,0,0,0,0,0,0,25.48,0,0,0,0,0,0,0,0,0,0,0,17.64,41.16,1.96,0,0,0
