stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,7.89,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.06,5.26,0,0,13.14,0,15.77,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,94.41,0,0,0,28.32,0,6.29,3.15,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,124,2,0,7,0,0,0,0,1,0,0,0,9,0,0,0,1,10,1,0,7,118,1,0,4,1,0,21,0,6,1,0,11,30,0,0,0,0,0
 24-34,0,0.82,0.82,137.9,1.64,0,9.03,0.82,6.57,0,1.64,0.82,0,0,1.64,10.67,0,10.67,0.82,0,27.91,8.21,0,13.95,402.22,1.64,2.46,7.39,0,0.82,73.88,0,0,9.85,0,0.82,111.64,0,0,1.64,0,1.64
 36-46,0,0,0,64.45,0.81,0,16.11,0,11.28,1.61,8.86,2.42,1.61,0.81,0.81,1.61,1.61,9.67,0,0.81,51.56,8.06,0.81,8.06,928.94,0.81,0.81,7.25,0,0,64.45,0,0,6.45,0,0,153.88,0,0,3.22,0,0.81
 48-58,0,0.57,0,45.9,1.72,0,118.2,0,17.21,0.57,22.38,1.72,4.59,0,0.57,2.3,0.57,8.03,1.15,0.57,41.89,6.89,2.3,7.46,1291.06,2.87,3.44,5.16,0,0,35.58,0,0,7.46,0,0,210.01,0,0,0.57,0,1.72
 60-70,0,0,0,67.73,0,0,505.48,0.98,25.52,0.98,46.13,6.87,1.96,0.98,0.98,4.91,0.98,11.78,0.98,0.98,41.22,3.93,2.94,6.87,2024.88,0.98,0,7.85,0,0,70.67,0,0,7.85,2.94,0,265.01,0.98,0.98,0.98,1.96,1.96
 72-82,0,0.98,0.98,123.69,2.94,0,856.01,0,23.56,4.91,107,15.71,0.98,1.96,8.83,9.82,1.96,19.63,3.93,0,113.87,11.78,3.93,16.69,2147.88,1.96,7.85,13.74,0,1.96,67.73,0,0,11.78,0,0,190.44,10.8,2.94,5.89,1.96,1.96
 84-94,0,1.06,0,161.43,2.12,0,565,1.06,44.61,5.31,82.84,23.36,7.43,0,3.19,13.81,2.12,18.05,2.12,2.12,63.72,12.74,6.37,2.12,1101.33,3.19,6.37,20.18,0,1.06,195.41,0,0,18.05,0,0,113.64,22.3,3.19,4.25,3.19,0
 96-106,0,1.09,3.28,199.99,5.46,0,407.63,0,36.06,3.28,86.33,29.51,0,0,3.28,17.49,3.28,21.86,2.19,0,46.99,12.02,4.37,5.46,939.85,1.09,10.93,22.95,0,0,153,0,0,18.58,0,0,43.71,43.71,1.09,0,2.19,1.09
108-118,0,0,1.53,248.94,1.53,0.77,291.07,1.53,66.64,1.53,85.79,31.4,0,0,2.3,13.02,0.77,22.21,4.6,0,29.87,16.09,1.53,6.13,1076.94,2.3,8.43,26.04,0,1.53,136.34,0,0,20.68,1.53,0,25.28,46.72,0,3.06,1.53,1.53
120,0,0,0,260.65,0,3.92,254.77,0,52.91,1.96,99.95,45.08,0,0,7.84,23.52,3.92,9.8,0,0,27.44,5.88,3.92,11.76,1318.94,3.92,15.68,23.52,0,0,156.78,0,0,15.68,0,0,56.83,19.6,0,3.92,0,1.96
