stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,immune,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,spinal_cord,taste,vasculature
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,6.29,0,0,0,0,0,0,0,0
 14-21,0,7,2,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,3
 24-34,0,0,1.64,0.82,0,0,0.82,0,0,0,0,0,0,0,2.46,0,0,0.82,0,0,0.82,0.82,0,13.95
 36-46,0,0,0.81,0,4.03,0,0,0,0,0,0,3.22,0,0.81,7.25,0,0,0.81,0,0,0,2.42,0,3.22
 48-58,0,0,0,0,0.57,0.57,0,0,0,0,0,1.72,0,0.57,2.87,0,0,0.57,0,0,0,0.57,0,0.57
 60-70,0,0,2.94,0,0,0,0,0,0,0,0,0,0,0,11.78,0,0,0,0,0,0,0.98,0,0
 72-82,0,0,0.98,0,0.98,0,0,0,0,0,0,0.98,0,0,23.56,0,0,0,0,0.98,0,0.98,0,0.98
 84-94,1.06,0,7.43,0,1.06,0,0,1.06,0,0,0,0,0,0,23.36,0,0,1.06,0,2.12,0,2.12,0,0
 96-106,0,0,18.58,1.09,3.28,0,0,1.09,0,1.09,0,2.19,0,1.09,24.04,0,0,0,0,3.28,0,2.19,1.09,0
108-118,0,0,10.72,0,3.06,0,0,0,0.77,0,0.77,3.06,0.77,0,16.85,0,0,0,0,3.06,0,0.77,0,1.53
120,0,0,7.84,0,3.92,0,1.96,3.92,1.96,0,0,1.96,0,1.96,29.4,0,1.96,1.96,1.96,1.96,0,0,0,3.92
