stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,220.67,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,24.52,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,0,2.63,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.6,2.63,0,0,18.4,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,6.29,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.67,9.44,0,0,22.03,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,1,30,9,5,0,2,0,1,0,0,1,0,1,0,0,0,0,7,0,0,7,64,3,0,1,1,0,2,8,0,16,25,0,0,3,0,0
 24-34,0,0,0,0,6.57,0,12.31,0,2.46,0.82,3.28,0.82,0,0,0,2.46,0.82,0.82,0,0,22.16,1.64,0,10.67,133.8,1.64,0.82,1.64,0,0,11.49,0,1.64,0,27.91,0,0,6.57,0,0
 36-46,0,0,0,0,0.81,0,26.59,0,0.81,0,1.61,0,0,0,0,0,0,0,1.61,0.81,18.53,0,0,5.64,53.98,0,2.42,1.61,0,0,4.03,0,0,0,12.09,0,0,0,0,0.81
 48-58,0,0,0,0,4.02,0.57,45.33,0,0.57,2.87,14.35,0.57,1.15,1.15,0,0,0,0.57,0,0,29.84,0,0,7.46,86.64,0,1.72,1.15,0,0,1.72,0,1.15,0,20.66,0,0,2.87,0,0
 60-70,0,0,0,0,9.82,0,52.02,0,2.94,0.98,7.85,0,0,0.98,0.98,0,0,0.98,0,0,22.58,1.96,0,1.96,53,0,0.98,0,0,0.98,4.91,0,0,0,10.8,0,0,0,0,0
 72-82,0,0,0.98,0,4.91,0,76.57,0.98,0,0.98,30.43,3.93,0,3.93,1.96,1.96,1.96,2.94,0.98,0.98,73.62,0,1.96,2.94,81.48,0.98,4.91,4.91,0,0.98,3.93,0,0,0,9.82,0,1.96,5.89,0,0
 84-94,0,0,1.06,0,20.18,2.12,60.54,0,0,1.06,22.3,2.12,1.06,1.06,7.43,1.06,1.06,3.19,1.06,0,50.98,0,3.19,8.5,83.9,2.12,1.06,5.31,0,0,11.68,0,1.06,0,8.5,1.06,2.12,9.56,3.19,3.19
 96-106,0,0,0,0,4.37,1.09,36.06,0,1.09,0,16.39,4.37,0,1.09,5.46,3.28,1.09,4.37,1.09,0,42.62,2.19,4.37,7.65,57.92,4.37,6.56,6.56,0,3.28,7.65,0,1.09,0,4.37,0,2.19,9.84,5.46,0
108-118,0,0,0,0,5.36,0.77,32.17,0,3.06,4.6,18.38,0.77,0,0.77,6.89,1.53,3.06,2.3,1.53,0,43.66,0.77,1.53,3.83,59.75,0.77,3.06,2.3,0,0,5.36,0,0.77,0,6.13,2.3,0.77,9.19,1.53,1.53
120,0,0,0,0,13.72,3.92,29.4,0,11.76,1.96,17.64,0,0,0,5.88,1.96,0,1.96,1.96,0,23.52,0,3.92,3.92,74.47,0,5.88,3.92,0,0,7.84,0,0,0,3.92,0,1.96,5.88,0,1.96
