stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,118.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,110.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,18.4,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,81.49,0,0,0,57.83,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,15.73,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110.14,3.15,0,0,59.79,0,0,0,0,3.15,3.15,0,0,0,0,0
 14-21,0,0,0,5,5,3,0,0,0,3,1,0,0,0,0,0,0,4,0,0,3,49,0,1,0,0,1,19,1,3,10,9,0,0,2,0,0
 24-34,0.82,0,0.82,3.28,1.64,21.34,0,0,0.82,2.46,0,0,0,8.21,0,0,1.64,17.24,0.82,0,2.46,155.14,0,2.46,4.1,0,11.49,0,4.93,1.64,3.28,29.55,0,0,3.28,0,1.64
 36-46,0,0,0,0.81,0,32.23,0,0,0,2.42,0,0,0.81,2.42,1.61,0.81,1.61,7.25,0,0,5.64,102.32,0,1.61,0,0,6.45,0,0,0,0,17.72,0,0,1.61,0,1.61
 48-58,0,0,0,0,0,64.84,0.57,0.57,0,2.87,0.57,0,0.57,2.87,0,0.57,0,6.89,0,0,0.57,39.59,0,0.57,0,0,2.87,0,0.57,0.57,0,6.31,0,0,0,0,0.57
 60-70,0,0,0,1.96,0,55.95,3.93,0,0,8.83,3.93,0,0.98,0,0,3.93,0,4.91,0,0.98,0,46.13,0,0,0.98,0,2.94,0,2.94,3.93,0,2.94,0,0.98,0.98,0,0
 72-82,0,0,0,5.89,0,29.45,0,0,1.96,6.87,5.89,0,1.96,4.91,0,0,0,1.96,0,0.98,2.94,23.56,0,0.98,0,0,2.94,0,1.96,0,0,2.94,0.98,0,0,0,0.98
 84-94,0,0,0,1.06,0,19.12,0,0,0,2.12,12.74,0,2.12,7.43,1.06,6.37,1.06,1.06,0,0,2.12,19.12,0,0,0,0,7.43,0,0,0,0,1.06,0,0,1.06,1.06,2.12
 96-106,0,0,0,4.37,2.19,20.76,0,1.09,0,6.56,5.46,0,0,4.37,1.09,13.11,0,2.19,0,0,1.09,4.37,1.09,3.28,1.09,0,2.19,0,3.28,0,0,0,0,1.09,3.28,1.09,0
108-118,0,0,0,3.83,0.77,9.19,0,0.77,0,0,7.66,0,0,1.53,0,7.66,0,3.06,0.77,0,0.77,15.32,0,0.77,1.53,0,1.53,0,2.3,0.77,0,0,1.53,0,0.77,0,0
120,0,0,0,9.8,0,17.64,1.96,0,0,7.84,1.96,0,1.96,0,0,5.88,1.96,0,0,0,1.96,11.76,0,1.96,3.92,0,5.88,0,0,0,0,0,0,0,0,0,0
