stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,131.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.17,5.26,0,0,5.26,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,18.88,0,0,6.29,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,198.26,31.47,0,0,53.5,0,0,3.15,0,3.15,0,6.29,0,0,0,0,0
 14-21,0,0,0,7,12,3,9,0,0,0,3,0,0,3,0,0,0,0,0,2,34,0,0,38,118,3,1,3,2,0,1,2,33,0,98,102,56,0,0,0,0
 24-34,0,0,0.82,1.64,4.1,0,14.78,0,0.82,0.82,4.93,0,0,4.1,0.82,0,0.82,0.82,0.82,13.95,81.26,0,0,45.97,309.46,3.28,2.46,3.28,0,0,1.64,0,0,0,29.55,23.8,78.8,0,10.67,0,1.64
 36-46,0,0,0.81,0,2.42,0,24.98,2.42,0,0,13.7,0,0,1.61,1.61,0,0,0,0.81,13.7,82.98,0,0.81,19.34,367.39,0.81,1.61,0.81,0,0.81,0.81,0,0.81,0,5.64,0.81,98.29,0,6.45,0,2.42
 48-58,0,0,0,0,2.3,0,61.97,2.3,0.57,5.74,49.35,0,0,1.72,0.57,0,2.3,0,0.57,17.21,76.89,0,3.44,23.53,468.22,1.72,0.57,1.15,0,0,1.15,0,0,0,2.3,0,113.61,0,5.16,0,4.59
 60-70,0,0,2.94,0,3.93,0,88.34,3.93,0.98,4.91,88.34,0,0,0.98,0,0,0.98,0,0,16.69,150.17,0.98,2.94,27.48,636.03,0,1.96,1.96,0,3.93,0,0,0,0,2.94,0,105.02,0.98,10.8,0,11.78
 72-82,0,0,1.96,0,5.89,4.91,104.06,0.98,0.98,8.83,115.84,0,0,0.98,0.98,0.98,4.91,1.96,3.93,18.65,182.59,0,10.8,20.61,672.44,0,0.98,6.87,0,0,1.96,0,0,0,5.89,0,82.46,6.87,15.71,3.93,6.87
 84-94,0,0,2.12,0,12.74,3.19,76.47,1.06,2.12,8.5,52.04,1.06,0,1.06,2.12,0,8.5,0,2.12,29.74,135.94,0,8.5,14.87,335.6,0,1.06,1.06,0,2.12,1.06,0,0,1.06,1.06,0,36.11,5.31,7.43,6.37,3.19
 96-106,0,0,1.09,0,9.84,10.93,64.48,5.46,3.28,2.19,60.11,1.09,0,7.65,1.09,1.09,13.11,1.09,2.19,26.23,124.58,0,13.11,17.49,255.73,1.09,0,3.28,0,6.56,3.28,0,0,0,6.56,0,18.58,2.19,26.23,5.46,10.93
108-118,0,0,0.77,0,5.36,2.3,38.3,7.66,3.06,5.36,62.04,0.77,0,1.53,2.3,0.77,26.04,0.77,1.53,30.64,99.58,0.77,6.89,17.62,350.05,1.53,2.3,1.53,0,3.83,0,0,0,0,6.89,0,16.85,0.77,19.15,1.53,8.43
120,0,0,0,0,3.92,0,56.83,9.8,0,5.88,92.11,1.96,0,3.92,1.96,0,7.84,0,0,17.64,86.23,0,1.96,15.68,478.19,0,3.92,0,0,3.92,0,0,0,0,1.96,0,23.52,3.92,21.56,5.88,1.96
