stage,axial,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,iridophores,lateral.line,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,5.26,0,0,0,0,2.63,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,28,1,0,0,0,0,3,5,0,0,0,0
 24-34,0,0,13.13,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0.82,0,58.28,0,0,0,0,0.82,0,8.21,0,1.64,0,0.82
 36-46,0,0,6.45,0,0,0.81,0,0,4.83,0,0,0,0,0,0,2.42,0,0.81,37.87,0,0,0,0,1.61,0,16.92,0,2.42,0,0
 48-58,0,0,5.16,0,0,4.02,1.15,0,9.18,0,0,0,0,0,0,7.46,0,0.57,63.69,0,0.57,0.57,0,2.87,0,29.84,0,0.57,0,0
 60-70,0,0,3.93,0,0,9.82,0.98,0,16.69,0,0,0,0,0,0,11.78,0,0.98,106,0,0,0,0,3.93,0,23.56,0,0,0,0
 72-82,0,0,5.89,0,0,20.61,0,1.96,9.82,0,0,0,0,0.98,0,29.45,0,0,129.58,0,0,0,0,3.93,0,20.61,0,4.91,1.96,0
 84-94,0,0,12.74,0,0,19.12,1.06,0,6.37,0,0,0,0,0,0,9.56,0,0,59.47,0,0,0,0,10.62,0,12.74,0,2.12,3.19,0
 96-106,0,0,5.46,0,1.09,21.86,1.09,0,9.84,0,0,0,0,0,0,10.93,0,0,75.41,0,0,0,0,5.46,0,3.28,0,5.46,3.28,0
108-118,0,0,6.89,0.77,0,17.62,0,0,13.79,0.77,0,1.53,1.53,0,0,13.02,0,1.53,66.64,0,0,0,0,4.6,0,3.83,1.53,1.53,0.77,0
120,0,0,7.84,0,0,7.84,0,0,11.76,0,0,0,0,0,1.96,5.88,0,0,72.51,0,0,0,0,1.96,0,11.76,0,1.96,0,0
