stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,glial,gut,hatching.gland,heart,liver,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature
  3-4,92.25,263.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0
  5-6,208.41,386.17,0,0,0,0,0,0,0,0,36.78,0,0,0,0,171.63,6.13,0,30.65,12.26,0,0,0,0,0,0
  7-9,126.18,15.77,0,173.5,0,0,5.26,0,0,0,126.18,0,0,0,0,210.3,97.26,0,604.6,2.63,0,2.63,0,0,0,0
 10-12,0,6.29,0,66.09,0,6.29,6.29,0,0,0,47.2,0,0,0,0,129.03,107,0,358.75,0,6.29,66.09,0,0,0,0
 14-21,0,0,1,24,44,115,0,0,1,11,9,9,1,102,125,66,109,0,15,10,108,21,45,371,26,6
 24-34,0,0,0,2.46,0.82,4.1,0,0,0,0.82,0,0,0.82,9.85,11.49,11.49,6.57,0,0,4.1,0.82,0.82,0,9.03,0.82,4.1
 36-46,0,0,0,0,0,0,0.81,0.81,0,0,0,0,0,5.64,3.22,1.61,11.28,0,0,1.61,0,0,0,0,1.61,0.81
 48-58,0,0,0,0,0,0,0.57,0,0.57,0,0,0,0,0.57,0,1.72,1.72,0,0,0.57,0,0,0,0,0.57,0.57
 60-70,0,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0.98,0,0,1.96,0,0,0,0,0,0
 72-82,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,1.06,0,0,0,0,0,0,0,2.12,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.09,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0.77,0,0.77,0.77,0,0,0,0,0,0,0,0,0,0.77,0.77,0,0,0,0,0.77,0,0,0
120,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
