stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,6,0,0,0,0,1,0,1,2,0,0,0
 24-34,0,0.82,1.64,0,0.82,0,0,0,2.46,0.82,0,0,0,0,0,1.64,0,0.82,21.34,0,0,0,0,0,0,0,12.31,0.82,0,0
 36-46,0,0.81,0.81,0,0.81,0,0,0,0,0,0,0,0,0,0,0.81,0,0.81,45.12,0,0,0,0,0,0,0,6.45,0,0,0
 48-58,0,0.57,0,0,5.16,0,0,0,2.3,0,0,0,0,0,0.57,1.15,0,0.57,48.77,0.57,0.57,0.57,0.57,0,0.57,0,6.89,0,0,0
 60-70,0,0.98,0,0,7.85,0,0,0,0.98,0,0.98,0,0,0,0.98,1.96,0,0,64.78,0,0,0,0,0,1.96,0,0.98,0.98,0,0
 72-82,0,2.94,1.96,0,10.8,0,0,1.96,2.94,0,0,0.98,0,0,0,2.94,0,1.96,108.96,0,0,0,0,0,6.87,0,2.94,1.96,0,0
 84-94,0,4.25,0,0,6.37,0,0,1.06,3.19,1.06,0,0,0,0,0,6.37,1.06,0,80.71,0,1.06,0,1.06,0,9.56,0,1.06,1.06,0,0
 96-106,0,1.09,1.09,1.09,14.21,0,0,0,1.09,0,0,0,0,0,0,4.37,0,1.09,78.68,0,2.19,0,0,0,18.58,0,0,3.28,0,0
108-118,0,3.06,0,0,6.89,1.53,0.77,0,2.3,0,0,1.53,0,0,0,1.53,0,0.77,77.36,0,0.77,0,0.77,0,18.38,0,1.53,3.06,0.77,0.77
120,0,5.88,1.96,0,5.88,0,0,0,1.96,0,0,3.92,0,1.96,0,7.84,0,1.96,129.35,0,1.96,0,1.96,0,5.88,0,1.96,0,0,0
