stage,axial,blastomeres,endoderm,epidermis,eye,fin.mesenchyme,glial,hatching.gland,iridophores,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,61.3,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,5.26,0,0,2.63,0,0,0,0,0,21.03,0,0,0,5.26,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,3.15,0,0,0,0
 14-21,0,0,0,0,1,0,1,0,0,0,1,0,0,15,0,0,0,1,0,0,1,5,0,0
 24-34,0,0,0,0,1.64,0,0.82,0,0,0,0.82,0,0,13.13,0.82,0.82,0,0,0,0,0,5.75,0,0
 36-46,0,0,0,0,1.61,0,1.61,0,0,0,0,0.81,0,12.09,0,0.81,0.81,0,0,0,0,8.06,0,0
 48-58,0,0,0,0,4.59,0,0,0,0.57,0,0,0,0,3.44,0,0.57,0,0,0,0,0,1.72,0,0.57
 60-70,0,0,0,0.98,0.98,0,2.94,0,0,0,0,0,0.98,4.91,0,0.98,0,0,0,0,0,0.98,0,0
 72-82,0,0,0,0,0.98,0,2.94,0,0,0,0.98,0,0,2.94,0,0,0,0,0,0,0,1.96,0,0
 84-94,0,0,0,0,1.06,1.06,3.19,0,0,0,1.06,0,0,4.25,0,0,0,0,0,0,0,1.06,0,0
 96-106,0,0,0,0,0,0,2.19,0,0,1.09,1.09,0,0,1.09,0,1.09,0,0,0,0,0,1.09,0,0
108-118,0,0,0,0,2.3,0.77,0.77,0,0,0,1.53,0,0,2.3,0,0,0,0,0,0,0,0,0.77,0.77
120,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0
