stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,0,645.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0
  5-6,42.91,392.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,13.14,15.77,0,13.14,0,0,34.17,0,0,0,0,15.77,0,0,0,0,0,0,0,0,0,0,315.45,18.4,0,131.44,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,22.03,0,12.59,0,9.44,44.06,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,320.99,25.18,0,147.91,0,0,0,0,3.15,0,3.15,0,0,0,0
 14-21,0,0,0,3,48,17,46,0,0,3,3,1,1,0,0,0,2,0,27,0,0,19,351,7,2,8,0,1,1,30,2,3,21,62,0,0,0
 24-34,0,0,0,0,6.57,1.64,50.07,0,0,3.28,0,0,0.82,0.82,0,0.82,1.64,3.28,15.6,0,0,8.21,187.16,0,0,0,0,0,0.82,0,0,0,4.93,26.27,0,3.28,4.93
 36-46,0,0,0,0,1.61,0,24.17,0,0,2.42,0,0,0,2.42,0.81,0,0,0,4.03,0,0.81,0.81,51.56,0.81,0,0,0,0.81,2.42,0,0.81,0,0,5.64,0,0,0.81
 48-58,0,0,0,0,2.3,0,19.51,0,0,1.72,0,0,0,1.72,2.3,0,0.57,0,4.59,0.57,0,1.15,19.51,0,0,0,0,0.57,0,0,0,0,0,1.72,0,0,2.3
 60-70,0,0,0,0,1.96,0,30.43,0,0,4.91,0,0,0,3.93,0,0,0,0.98,5.89,0,0.98,0.98,12.76,0,0,0,0.98,1.96,0,0,0,0,0,0.98,0,0.98,1.96
 72-82,0,0,0.98,0,0,0,36.32,0,0.98,2.94,0,0,0,5.89,0.98,0,0,0,0.98,0,0,1.96,10.8,0.98,1.96,0,0,0.98,0.98,0,0.98,0,0,0,0.98,0.98,0.98
 84-94,0,0,0,0,4.25,0,45.67,0,0,4.25,0,0,0,4.25,0,0,0,0,2.12,0,0,0,10.62,0,0,0,0,1.06,0,0,0,0,0,1.06,0,2.12,1.06
 96-106,0,0,0,0,3.28,0,27.32,1.09,0,3.28,0,0,0,13.11,1.09,0,0,0,1.09,0,0,2.19,12.02,0,2.19,0,0,2.19,1.09,0,1.09,0,0,0,0,0,2.19
108-118,0,0,0,0,0.77,0,19.15,0,0.77,3.83,0.77,0,0,7.66,0,0,0,0,1.53,0,0,0,9.96,0,2.3,0,0,0,1.53,0,0,0,0,0,0,1.53,3.06
120,0,0,0,0,0,0,5.88,0,0,1.96,1.96,0,0,1.96,1.96,0,3.92,0,0,0,0,0,3.92,0,0,0,0,1.96,0,0,1.96,0,0,0,0,0,0
