stage,axial,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,5,52,4,16,0,1,0,8,0,7,1,0,2,0,0,0,1,21,0,0,14,250,5,1,1,7,14,23,1,2,15,81,0,2,0,0
 24-34,0,0.82,7.39,1.64,55.82,0,0,0,10.67,0,0.82,0,0,0.82,0.82,0,0.82,0.82,35.3,0.82,0,11.49,421.92,3.28,2.46,4.1,0,8.21,0,1.64,0,4.93,87.01,0,2.46,0,0
 36-46,0,0.81,3.22,2.42,132.94,0.81,0,0,7.25,0,0,0,0,0,0,0,0,0.81,26.59,0,0,5.64,301.32,0.81,2.42,0.81,0,2.42,0,0,0,0,61.23,0,2.42,0,0
 48-58,0.57,0,1.72,2.3,173.29,0,0.57,0.57,8.03,0,0,0,0,0,0,0.57,0.57,0,28.12,0,0.57,2.3,172.14,0.57,0,0.57,0,1.72,0,0,0,0,19.51,0,1.72,0,0.57
 60-70,0,0,4.91,0.98,132.51,0,0,0,10.8,0,0.98,0,0,0,0,0,0,0,21.59,0,1.96,2.94,93.24,0,0.98,0.98,0,0.98,0,0,0.98,0,10.8,0,0,0,0.98
 72-82,0,0,2.94,1.96,44.17,0,0,1.96,7.85,0.98,0,0,0,0,0,0.98,0,0,18.65,0,0,1.96,62.83,0.98,0,1.96,0,0,0,0,0,0,2.94,0,1.96,0,0.98
 84-94,0,0,4.25,0,39.3,0,1.06,3.19,5.31,0,0,0,1.06,1.06,0,0,2.12,0,15.93,0,4.25,4.25,46.73,2.12,1.06,2.12,0,1.06,0,0,0,0,3.19,1.06,0,0,1.06
 96-106,0,0,2.19,0,32.79,0,1.09,0,6.56,4.37,0,0,2.19,0,0,0,2.19,0,12.02,0,2.19,1.09,31.69,0,1.09,1.09,0,2.19,0,0,0,0,0,0,0,1.09,0
108-118,0,0,0,1.53,21.45,0,0,1.53,7.66,0.77,0,0,1.53,0,0,0,1.53,0,6.89,0,0.77,0.77,44.43,0,0,0,0,1.53,0,0,0,0,0,0,1.53,0,0
120,0,0,0,0,48.99,0,0,0,5.88,0,0,0,0,1.96,0,0,0,0,5.88,0,0,3.92,58.79,0,0,1.96,0,0,0,0,0,0,0,0,1.96,1.96,0
