stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,158.14,3228.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118.6,0,0,0,0,0,0,0,0,0
  5-6,110.33,1961.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.56,12.26,0,0,24.52,42.91,0,0,0,0,0,0,0,0,0
  7-9,36.8,70.98,0,65.72,0,0,302.3,0,0,0,0,0,65.72,0,0,0,0,0,0,0,0,0,0,2029.37,26.29,0,0,801.76,0,10.51,0,2.63,0,0,0,0,0,0
 10-12,0,103.85,0,97.56,0,9.44,295.82,0,0,0,0,0,31.47,0,0,0,0,0,0,0,0,0,0,2309.88,25.18,0,0,915.77,3.15,3.15,9.44,97.56,3.15,6.29,0,0,0,0
 14-21,0,0,1,12,52,21,101,0,0,0,14,1,0,0,0,1,0,0,0,0,58,0,34,925,3,0,5,27,6,0,55,2,83,266,0,4,0,0
 24-34,0,0,0,1.64,16.42,1.64,242.97,0,0,0,22.16,2.46,0,1.64,1.64,1.64,0.82,2.46,1.64,0,87.83,0.82,41.04,1054.8,4.1,3.28,5.75,0,13.13,0,0,0,9.03,189.62,0,16.42,0,0.82
 36-46,0,0,0,0.81,7.25,1.61,235.26,0,0.81,0,30.62,2.42,0,0,0.81,0.81,0,0,1.61,0,67.68,2.42,10.47,473.73,0,0,4.03,0,2.42,0.81,0,0.81,0,107.96,0,2.42,0,1.61
 48-58,0,0,0,0.57,4.59,0.57,197.39,0,1.72,1.15,27.54,1.15,0,2.3,0,0.57,1.72,1.15,1.15,0,75.74,4.02,20.08,234.11,2.3,2.3,0.57,0,2.3,0,0,0,0,32.13,0,6.31,0,1.15
 60-70,0,0,0,0,8.83,0,115.82,0.98,1.96,0.98,53,0.98,0,0,0.98,0,0,0.98,0.98,0,54.97,4.91,8.83,173.73,0.98,0,1.96,0,1.96,0,0,0,0,25.52,0,5.89,0,1.96
 72-82,0,0,0,0,9.82,0.98,74.61,0,0,2.94,39.27,1.96,0,0,3.93,0,0,0.98,1.96,0,61.84,0.98,6.87,163.94,0,2.94,0,0,0,0,0,0,0,6.87,0.98,3.93,0.98,0
 84-94,0,0,0,1.06,12.74,3.19,58.41,0,0,2.12,25.49,5.31,0,0,3.19,1.06,1.06,2.12,2.12,1.06,65.85,6.37,19.12,110.45,2.12,3.19,1.06,0,3.19,0,0,0,0,2.12,0,11.68,0,0
 96-106,0,0,0,0,12.02,4.37,46.99,0,0,0,31.69,2.19,0,2.19,4.37,1.09,0,0,0,0,38.25,0,5.46,114.75,0,1.09,2.19,0,2.19,0,0,1.09,0,5.46,0,8.74,0,0
108-118,0,0,0.77,0,14.55,3.06,49.79,0,0.77,3.83,33.7,0,0,0,4.6,0,1.53,0,1.53,0,39.83,1.53,9.19,140.17,3.06,0.77,4.6,0,5.36,0,0,0,0,2.3,0,10.72,0,0
120,0,0,0,0,15.68,1.96,41.16,0,0,3.92,39.2,3.92,0,1.96,9.8,0,0,0,1.96,0,29.4,0,11.76,135.23,0,0,1.96,0,0,1.96,0,0,0,1.96,0,7.84,3.92,0
