stage,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,228,2,0,13,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,4,0,0,0,0,1,0,1,1,0,0,0,0,0
 24-34,0,332.45,0,0,15.6,0,7.39,0,1.64,0,0,0.82,0,0,0,0,2.46,5.75,0,2.46,24.63,0.82,0,0,0,2.46,0,0,4.1,0,0,3.28,0,0.82
 36-46,0,165.97,0,0,10.47,0,19.34,0,2.42,0,0,0,0,0,0,0,4.83,0,0,0.81,26.59,0,0.81,0.81,0,0.81,0,0,3.22,0,0,2.42,0,1.61
 48-58,0,165.83,0,0,7.46,0.57,20.66,0,3.44,0,0,0,0.57,0,0,0.57,7.46,1.72,0,1.15,47.05,0,0,0,0,2.3,0,0,6.31,0,0,1.72,0,0.57
 60-70,0,210.05,0,0,9.82,0,49.08,0.98,3.93,0,0,0,0,1.96,0,0,4.91,0.98,0.98,0,36.32,0.98,0,0.98,0,1.96,0,0,0.98,0,0,2.94,0,0
 72-82,0,248.36,0.98,0,8.83,0,36.32,0,4.91,0.98,0,0,0,2.94,0.98,0,20.61,2.94,0.98,0.98,48.1,0,0.98,0.98,0.98,0.98,0,0,0.98,0.98,0,1.96,0.98,0.98
 84-94,0,380.21,0,0,8.5,0,87.09,0,5.31,1.06,0,0,1.06,0,0,0,5.31,5.31,1.06,0,37.17,0,0,0,0,1.06,0,0,1.06,0,0,3.19,0,0
 96-106,0,410.91,3.28,0,3.28,0,79.78,0,9.84,0,0,0,1.09,4.37,0,0,12.02,8.74,0,0,42.62,0,2.19,0,0,2.19,0,0,0,0,0,5.46,0,1.09
108-118,0.77,471.07,0,0.77,4.6,0,109.53,1.53,7.66,3.06,0,0,0,4.6,0,0.77,12.26,1.53,0.77,0.77,19.92,0,2.3,0,0.77,1.53,0,0,0.77,0.77,0.77,4.6,0,0
120,0,360.6,1.96,0,5.88,1.96,78.39,0,0,5.88,0,0,0,1.96,0,0,5.88,3.92,0,1.96,25.48,0,1.96,0,0,0,1.96,0,0,0,0,3.92,0,0
