stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,263.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,165.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,0,0,7.89,0,0,0,5.26,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,63.09,0,0,0,21.03,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,9.44,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,81.82,6.29,0,0,28.32,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,12,5,0,2,0,0,2,2,3,0,0,1,0,0,0,0,7,1,0,5,74,6,0,0,0,0,2,7,1,2,13,26,0,0,8,0,0
 24-34,0,0,0,0,8.21,3.28,0,14.78,0,0.82,0.82,0.82,0.82,1.64,0.82,0,0,0,1.64,0,13.13,0.82,0,4.93,109.17,1.64,0.82,0.82,0,0,1.64,0,0.82,0,0.82,27.91,0,0,18.88,0,0
 36-46,0,0,0,0,0.81,0,0,26.59,0,0,4.83,0.81,0,0,1.61,0,0,0.81,0,0.81,16.92,0,0,2.42,113.6,4.83,0.81,0,0,0,1.61,0,0,0,0,34.64,0,0,4.83,0,0.81
 48-58,0,0,0,0,0,5.16,0,41.31,0,0.57,7.46,0.57,0.57,0,1.15,0.57,0.57,0.57,0.57,2.3,14.35,0,0,3.44,89.51,0.57,0,1.15,0,0,0.57,0,0,0,0,25.82,0,0,4.02,0,0.57
 60-70,0,0,0.98,0,7.85,11.78,0,73.61,1.96,0,1.96,0,0,0.98,0,0,0.98,0.98,0.98,1.96,32.39,0,0.98,0,83.43,0,0,0.98,0,0,5.89,0,0,0,0,15.7,0,0,1.96,0,0
 72-82,0,0,0.98,0,2.94,37.3,0,46.14,0.98,0.98,13.74,0.98,1.96,0,0,0.98,1.96,2.94,0,0,28.47,1.96,0,3.93,62.83,0,0.98,0,0,0,4.91,0,0.98,0,0,3.93,0.98,0,3.93,0.98,0.98
 84-94,1.06,0,0,0,9.56,30.8,0,55.23,1.06,0,15.93,4.25,1.06,0,5.31,2.12,3.19,0,0,0,28.68,1.06,2.12,3.19,48.85,1.06,1.06,3.19,0,0,19.12,0,0,0,0,6.37,0,1.06,6.37,0,2.12
 96-106,0,0,0,0,6.56,43.71,1.09,25.14,0,1.09,13.11,2.19,0,0,6.56,2.19,1.09,0,1.09,1.09,19.67,0,0,3.28,39.34,1.09,2.19,3.28,0,0,14.21,0,1.09,0,0,0,0,1.09,8.74,1.09,1.09
108-118,0,0,0.77,0,9.19,27.57,0,25.28,3.06,1.53,12.26,4.6,0,0,1.53,0.77,1.53,0,0,0,16.85,1.53,0.77,4.6,31.4,0.77,0.77,0.77,0,1.53,12.26,0,0,0,0,0,0,0,7.66,0,1.53
120,0,0,1.96,0,19.6,35.28,1.96,17.64,5.88,1.96,3.92,1.96,0,0,9.8,0,5.88,3.92,0,0,37.24,3.92,1.96,3.92,35.28,3.92,0,1.96,0,0,19.6,0,1.96,0,0,0,0,0,9.8,0,0
