stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,xanthophores
  3-4,52.71,988.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.07,0,0,0,0,0,0
  5-6,55.17,735.56,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,18.39,0,0,0,0,0,0
  7-9,15.77,5.26,18.4,0,0,0,52.57,0,0,0,0,0,18.4,0,0,0,0,0,0,0,0,0,0,410.08,13.14,0,0,152.47,0,0,0,0,0,0,0
 10-12,0,9.44,12.59,0,0,0,28.32,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,324.14,3.15,0,0,84.97,3.15,0,18.88,0,0,0,0
 14-21,0,0,1,31,5,0,15,0,0,0,6,2,0,0,0,0,0,0,0,0,15,0,9,183,2,0,1,5,3,19,3,16,48,0,0
 24-34,0,0,0.82,4.93,2.46,0,49.25,0,0.82,0.82,5.75,0,0,0,0.82,0,0.82,0.82,0.82,0.82,23.8,0.82,7.39,321.78,0.82,2.46,4.1,0,9.03,0,0,1.64,64.85,3.28,1.64
 36-46,0,0,0,0.81,4.03,0,111.18,0,0,0,3.22,0,0,0,0,0,0,0,0,0.81,11.28,0.81,2.42,209.47,0,0.81,0.81,0,1.61,0,0,0,34.64,1.61,0.81
 48-58,0,0,0,1.72,1.72,0,102.71,0.57,0,0,8.03,0.57,0,0,0,0,0.57,0,0,0,18.36,0.57,2.3,73.45,0,0,0.57,0,0.57,0,0,0,10.33,1.15,0
 60-70,0,0,0,1.96,1.96,0,92.26,0,0,0,4.91,0,0,0.98,0,0,0,0,0,0,18.65,0.98,2.94,51.04,0,0,0,0,0,0,0,0,1.96,0,0
 72-82,0,0,0,0.98,0.98,0,28.47,0,0,0,7.85,1.96,0,0.98,0.98,0,0,0,0,0,17.67,0,4.91,23.56,0,0,0,0,0,0,0,0,1.96,1.96,0
 84-94,0,0,0,4.25,3.19,0,25.49,0,0,1.06,0,4.25,0,0,0,1.06,0,0,0,0,13.81,0,7.43,25.49,0,0,0,0,0,0,0,0,0,2.12,0
 96-106,0,0,0,0,1.09,1.09,14.21,0,0,0,1.09,1.09,0,0,1.09,0,1.09,0,0,0,3.28,1.09,0,16.39,0,0,0,0,1.09,0,0,0,0,1.09,0
108-118,0,0,0,0.77,0,0.77,16.09,0,0,0,5.36,1.53,0,0,0.77,0,0,0.77,0,0,8.43,0,0,19.15,0,0.77,0,0,0,0,0,0,0,0,0
120,0,0,0,1.96,3.92,0,39.2,0,0,1.96,15.68,3.92,0,0,3.92,1.96,0,0,0,0,7.84,0,1.96,35.28,0,0,1.96,0,0,0,0,0,0,0,0
