stage,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,immune,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,pericytes,periderm,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,7,0,0,0,0,0
 24-34,0.82,0,0,0.82,0,0,0,0.82,0.82,0,0,0,0,0,0,0,68.95,0.82,0,0,0.82,39.4,0,0,1.64,0,0
 36-46,0.81,0,0,1.61,0,0,0,3.22,0,0,0,0,0,0,0,0,127.3,0,0,0,0,62.04,0,0,0,0,0
 48-58,0,0,0,5.74,0.57,0,0,18.94,0,0,0.57,0,0.57,0,0,0.57,172.14,0,0,0,0,32.71,0,0,0,0,0
 60-70,0.98,0,0,37.3,0,0,0,7.85,0,0,0,0,3.93,0,0,0,326.85,0.98,0,0,1.96,17.67,0,0,0,0,0
 72-82,0.98,0,0,86.39,0,0,0,11.78,0,0,0,0,6.87,0,0,0.98,351.43,0,0,0,0,10.8,0.98,0,1.96,0,0.98
 84-94,1.06,0,0,59.47,0,0,1.06,10.62,0,0,1.06,1.06,3.19,1.06,1.06,1.06,162.49,0,0,0,1.06,7.43,0,0,0,1.06,0
 96-106,3.28,1.09,0,55.74,1.09,0,0,8.74,0,0,0,0,3.28,0,0,0,169.39,1.09,2.19,1.09,0,7.65,0,2.19,0,0,0
108-118,4.6,0,0.77,36.77,0,0.77,0,2.3,0.77,0.77,0.77,0,1.53,0,0,0.77,177.7,2.3,0,0,0,5.36,0.77,0,0,0.77,0
120,1.96,3.92,0,45.08,1.96,0,0,5.88,0,0,0,0,3.92,0,1.96,0,205.78,0,0,0,1.96,1.96,0,0,0,0,0
