stage,blastomeres,epidermis,eye,glial,gut,hatching.gland,immune,mesenchyme,mucous,muscle,neural,vasculature
  5-6,6.13,0,0,0,0,0,0,0,0,0,6.13,0
  7-9,0,0,0,0,0,0,0,0,0,0,2.63,0
 10-12,0,0,0,0,0,0,0,0,0,0,12.59,0
 14-21,0,53,2,0,1,0,0,0,0,0,1,1
 24-34,0,39.4,0,0,0,0,0,0,0.82,0,2.46,0
 36-46,0,8.86,0,0,0,0.81,0,0,0,0,0.81,0
 48-58,0,1.15,0.57,0.57,0,1.72,0,0,0.57,0,0.57,0
 60-70,0,0,0.98,0,0,0,0.98,0.98,0,0,0,0.98
 72-82,0,0,0.98,0,0,0,1.96,0,0,0.98,2.94,0.98
 84-94,0,0,1.06,0,0,0,0,0,0,1.06,0,3.19
 96-106,0,0,1.09,0,0,0,6.56,0,0,1.09,0,0
108-118,0,0.77,0.77,0,0,0,3.83,0,0,0,0,2.3
120,0,0,0,0,0,0,3.92,0,0,1.96,0,5.88
