stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,5.26,2.63,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,40.91,0,0,3.15,0,0,0,6.29,0,0,0,0,0,0
 14-21,0,2,2,31,3,0,1,2,0,1,3,0,0,0,3,0,0,1,5,0,2,17,1,4,2,3,0,5,2,3,11,0,0,0,0
 24-34,0,0.82,1.64,14.78,0,0,0,1.64,0,0,0.82,0.82,1.64,0,0.82,4.93,0,0.82,4.93,1.64,0.82,15.6,3.28,4.1,0,20.52,0,0,1.64,0,3.28,0,0,1.64,0
 36-46,0,0,0,6.45,0,0,0.81,0,0,0.81,1.61,0,0,0,1.61,0,0,3.22,2.42,1.61,1.61,14.5,7.25,3.22,0,7.25,0,0,0,0,4.03,0,0,0,0
 48-58,0,0,0,2.87,0,0,2.3,1.15,0,0,0,0,0,0,0,0,0,1.15,1.72,2.3,0,8.03,0.57,0,0,5.16,0,0,0,0,3.44,0,0,0,1.15
 60-70,0,0,0,3.93,0,0,5.89,1.96,0.98,0.98,0.98,0,0,0,0.98,0.98,0.98,1.96,0.98,0,0,12.76,5.89,0,0,6.87,0,0,0,0,3.93,0,0.98,0,0
 72-82,0,5.89,0,10.8,0,0,25.52,1.96,0,0.98,2.94,0,0,0,0.98,5.89,0,0,1.96,0,0.98,8.83,6.87,3.93,0,5.89,0,0,0,0,2.94,2.94,0,0,0
 84-94,0,1.06,0,8.5,0,0,23.36,1.06,0,2.12,8.5,0,0,0,1.06,2.12,2.12,0,1.06,1.06,0,7.43,4.25,6.37,0,21.24,0,0,4.25,0,2.12,3.19,0,0,0
 96-106,0,1.09,0,8.74,0,0,8.74,0,0,2.19,12.02,0,1.09,1.09,1.09,7.65,1.09,1.09,0,0,0,10.93,8.74,5.46,0,7.65,0,0,0,0,0,4.37,0,2.19,0
108-118,0,1.53,0,12.26,0,1.53,9.19,0,0,0,12.26,0,0,1.53,0.77,0.77,0,0.77,2.3,0,0,8.43,5.36,8.43,0,9.96,0,0,0,0,0,3.83,0,1.53,0
120,0,1.96,0,7.84,0,0,3.92,0,0,1.96,7.84,0,0,0,1.96,0,0,0,1.96,0,0,7.84,9.8,3.92,0,5.88,0,0,0,0,0,1.96,0,0,0
