stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,65.89,948.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,288.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,13.14,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,52.57,13.14,0,0,26.29,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,18.88,0,31.47,0,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,594.78,37.76,0,0,280.08,0,3.15,0,37.76,0,0,9.44,0,0,0,0
 14-21,0,0,1,3,12,13,10,0,0,0,148,0,0,0,0,0,0,0,0,0,16,0,0,3,416,14,1,53,52,2,1,7,186,1,11,689,0,1,0,0
 24-34,0,0,0.82,1.64,4.1,0,15.6,0,1.64,2.46,203.57,0,0,0,0,0.82,0,4.1,0,0,9.85,0,0,4.93,409.61,4.93,23.8,13.13,0,2.46,0.82,0,91.12,0,12.31,534.38,0,0,0,0
 36-46,0,0,1.61,0,0.81,0,12.09,0,0,0,157.91,1.61,0,0,0,0.81,0,4.03,0.81,0,6.45,0,0,0.81,283.6,0.81,34.64,6.45,0,2.42,0,0,37.87,0,0.81,409.28,0,0,0,0
 48-58,0,0,0,0,1.15,0,36.72,0,0.57,0.57,158.37,0,0.57,0,0,0,0,3.44,0,0,3.44,0,0,0.57,113.61,0,28.69,12.62,0,1.15,0,0,14.35,0,0,285.18,0,0,0,0.57
 60-70,0,0,0,0,2.94,0,43.19,0,0.98,0,216.92,2.94,0,0,0.98,0,0,7.85,0,0,4.91,0,0,0,94.23,0,43.19,17.67,0,0,0,0,10.8,0,0,126.62,0,0,0,0
 72-82,0,0,5.89,0,1.96,0,39.27,0,0.98,0,274.87,6.87,0,0.98,0,0,0,20.61,0,0,8.83,0,1.96,2.94,85.4,0,67.73,30.43,0,0,0.98,0,10.8,0,0,66.75,0,0.98,0,0.98
 84-94,0,0,10.62,3.19,3.19,0,42.48,0,0,0,165.68,8.5,0,1.06,0,0,1.06,19.12,0,0,10.62,0,0,1.06,54.16,0,74.34,39.3,0,0,1.06,0,33.99,0,0,65.85,0,1.06,1.06,0
 96-106,0,0,10.93,4.37,4.37,0,51.36,1.09,0,2.19,177.04,3.28,0,0,1.09,0,1.09,36.06,2.19,1.09,10.93,1.09,0,0,44.81,1.09,106.01,45.9,0,1.09,0,0,24.04,1.09,0,56.83,1.09,1.09,0,0
108-118,0,0,6.13,4.6,6.13,0.77,25.28,1.53,0.77,0.77,166.21,3.83,0,0,1.53,0.77,0.77,19.92,0,0,9.19,0,0,0.77,59.75,0,75.06,27.57,0,0,0,0,20.68,0.77,0,45.19,0,0,0.77,0
120,0,0,3.92,1.96,5.88,0,27.44,0,0,0,107.79,9.8,0,1.96,0,0,1.96,17.64,1.96,0,5.88,0,0,0,58.79,0,43.12,27.44,0,0,0,0,9.8,0,0,21.56,0,3.92,0,0
