stage,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,heart,immune,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,pericytes,periderm,presomitic_mesoderm,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,7,3,0,0,0,1,0,0,0,0
 24-34,0.82,0,0,0,0,0,0.82,0,0,0,0,0,53.36,0,0,50.89,12.31,0,0,0,0,0,0,0,0
 36-46,0,0.81,0,0.81,0,0,6.45,0,0.81,0,0,0,93.46,0,0,32.23,5.64,0,0,1.61,0,0,0,0,0
 48-58,0,0,0,0.57,1.15,0,6.89,0.57,0.57,0,0,0,122.79,0.57,0.57,35.58,6.89,0,0,0,0,0.57,0.57,0.57,0
 60-70,0,0.98,0,2.94,0,0,5.89,0.98,0.98,0,0,0,229.68,0,1.96,16.69,9.82,0.98,0.98,0,0,0,0,0.98,0
 72-82,0,0,0,2.94,0,0,14.72,1.96,0,0,0,0,328.86,0,2.94,26.5,13.74,0.98,0,0,0,0,2.94,0,2.94
 84-94,0,2.12,0,15.93,0,0,5.31,0,1.06,0,0,0,203.91,0,3.19,29.74,8.5,3.19,0,0,0,0,0,0,0
 96-106,0,0,1.09,12.02,0,0,10.93,6.56,0,1.09,1.09,1.09,205.46,0,2.19,19.67,14.21,7.65,0,0,0,0,3.28,3.28,3.28
108-118,0,2.3,0,3.06,0,0.77,5.36,3.06,0,0,0,0,209.11,0,3.83,15.32,16.09,5.36,0,0,0,0,0.77,0,0.77
120,0,0,0,3.92,0,0,1.96,1.96,0,0,0,0,115.63,0,1.96,15.68,17.64,1.96,0,0,0,0,3.92,1.96,3.92
