stage,axial,blastomeres,endoderm,eye,fin_mesenchyme,glial,lateral_line,mesenchyme,muscle,neural,otic,paraxial_mesoderm,spinal_cord,taste,vasculature
  3-4,0,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,79.69,0,0,0,0,0,0,0,6.13,0,0,0,0,0
  7-9,5.26,2.63,2.63,2.63,0,0,0,0,0,36.8,0,13.14,0,0,0
 10-12,0,0,3.15,6.29,0,0,0,0,0,18.88,0,15.73,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0
 24-34,0,0,0,0,0,0,0,0,0,4.93,0,0,0,0,0
 36-46,0,0,0,0,0.81,0,0,1.61,0,4.83,0,0,0,0,0
 48-58,0,0,0,0,0,0,0.57,0.57,0.57,0,0,0,0,0,0.57
 60-70,0,0,0,0.98,0,0,0,0,0,0.98,0.98,0,0,0,0
 72-82,0,0,0,1.96,0,1.96,0,0,0,0.98,0,0,0,0,0
 84-94,0,0,0,0,0,1.06,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,2.19,0,0,0,0,0
108-118,0,0,0,0.77,0,0.77,0,0,0,0,0,0,0.77,0,0
120,0,0,0,0,0,1.96,0,0,0,0,0,0,0,1.96,0
