stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,61.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,3,0,2,0,0,4,0,0,0,0,0,0,0,0,2,0,4,80,0,0,0,0,0,1,0,2,27,0,0,0,0,0
 24-34,0,0,5.75,0,0,0,0.82,0,0,4.1,0,0,0,0,0,0,0,0,1.64,0,2.46,332.45,0,0.82,0,0,0,0,0,0,34.48,0,0,1.64,0,0
 36-46,0,0,0,0,0,0,11.28,0,0,36.26,0,0.81,0,0,0,0,0,0,6.45,0,0.81,430.23,0,0.81,0,1.61,0,0,0,0,73.32,0,0,0,0,0
 48-58,0,0,0,1.72,0.57,0,47.63,0,0.57,56.23,0.57,0,0,0.57,0.57,0.57,0,0,4.59,0,0.57,415.43,0,0,0,0.57,0,0,0,0,57.95,0,0,0,0,0
 60-70,0,0,0.98,0.98,0,0,119.75,0,0,59.87,0,0,0,0,0,0,0,0,9.82,0,0.98,613.45,0,0,0,0,0,0,0,0,51.04,0,0,0.98,0,0.98
 72-82,0,0,0,5.89,0.98,0,162.96,0,0.98,59.88,0,0,0.98,0.98,0,0,0.98,0.98,13.74,0,0.98,544.82,0,0.98,0,0,0,0,0,0,28.47,0.98,5.89,0,0.98,0
 84-94,0,0,2.12,4.25,0,0,134.88,0,1.06,40.36,1.06,0,0,0,0,0,0,1.06,12.74,2.12,1.06,288.87,0,3.19,0,0,0,0,0,0,18.05,0,6.37,2.12,0,0
 96-106,0,0,5.46,2.19,3.28,0,113.66,1.09,1.09,39.34,0,0,1.09,0,0,0,1.09,1.09,10.93,0,0,265.56,1.09,1.09,0,0,1.09,0,0,0,6.56,1.09,3.28,1.09,0,0
108-118,0,0,1.53,6.89,0.77,1.53,94.98,0,0,44.43,0.77,0,0,0,0.77,0.77,0,1.53,5.36,1.53,0,278.04,0,1.53,0,0,0,0,0.77,0,5.36,0,5.36,0,0,0
120,0,0,1.96,5.88,0,0,60.75,0,0,27.44,0,0,0,0,0,0,0,0,7.84,3.92,0,319.45,0,0,0,1.96,0,0,0,0,9.8,0,0,1.96,0,0
