stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,23.66,2.63,0,0,7.89,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,9.44,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,10,0,0,0,0,0
 24-34,0,0,0,0,0,0,2.46,0,0,0,0,0,0,4.93,0,0,0,1.64,0,0.82,127.23,0,0,0,0,0.82,0,32.01,0,0,0,0,0
 36-46,0,0,0,0,0,0,0.81,0,0,0,0.81,0,0,0,0,0.81,1.61,0,0,0.81,282.79,0,0.81,0,0,0,0,52.37,0,0,0,0,0
 48-58,0,0,0.57,0,0,0,13.2,0,0,0,4.02,0,0,0.57,0,0.57,1.15,0.57,0,0,396.5,0.57,0,0,0,0,0,43.61,0,0,0,0,0.57
 60-70,0,0,0,0,0,0,58.89,0.98,0,0,4.91,0,0,0,0,0.98,2.94,0,0.98,0,789.14,0,0,0,0,0,0,66.74,0,0,0,0,0
 72-82,0,0,0.98,0,2.94,1.96,149.21,0,0,0,12.76,0,0.98,0,0,0,6.87,0,0,0.98,915.89,0,0,0,0,0.98,0.98,34.36,0,0.98,0,0,0
 84-94,0,0,0,0,2.12,0,93.46,0,0,1.06,15.93,0,0,1.06,0,0,8.5,0,2.12,1.06,413.13,0,0,0,0,0,0,13.81,0,0,1.06,1.06,0
 96-106,0,0,0,0,4.37,0,87.43,0,0,0,6.56,0,1.09,2.19,1.09,1.09,5.46,1.09,2.19,0,370.48,0,2.19,0,0,1.09,0,5.46,0,1.09,0,0,1.09
108-118,0,0,0.77,0,3.83,0,63.57,0.77,0,0,6.13,1.53,0,1.53,0,2.3,3.83,0,0.77,0.77,386.05,0,0.77,0.77,0,2.3,0,13.02,0.77,0.77,0.77,0,0
120,0,0,0,0,3.92,1.96,74.47,0,1.96,0,9.8,0,1.96,0,1.96,0,3.92,0,0,0,478.19,1.96,0,0,0,1.96,0,9.8,0,0,1.96,0,0
