stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.13,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4,0,0,0,2.63,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,4,2,0,0,1,0,0,25,0,0,0,0,0
 24-34,0,0,2.46,3.28,0,0,4.1,0,0,1.64,0,0,0,0,0,4.1,0.82,1.64,0,0.82,341.48,0,35.3,14.78,0,0,3.28,2.46,0,105.07,0,0,0.82,0,0
 36-46,0,0,1.61,0,0,0,18.53,0,0,0.81,0,0,0,0,0,6.45,0,2.42,0,2.42,850.79,0,45.92,10.47,0,0,1.61,0.81,0,163.55,0,0,0,0,0.81
 48-58,0,0,0,3.44,0.57,0,82.05,1.15,0,8.61,0,0,0,0.57,0,5.16,1.15,11.48,0.57,0.57,1284.75,0,22.95,10.33,0,0,0.57,0.57,0.57,185.91,0,0,1.15,0,0
 60-70,0,0,3.93,1.96,0,0,263.05,1.96,0,18.65,0,0,0.98,0,0,4.91,0,5.89,0,1.96,2007.21,0,27.48,11.78,0,0,1.96,0,0.98,228.69,0.98,0.98,0,0,1.96
 72-82,0,0,11.78,8.83,2.94,0,389.72,0,0,33.38,3.93,0.98,1.96,1.96,0,14.72,0,41.23,0.98,1.96,1969.21,0,43.19,31.41,0,0,1.96,0.98,0,133.51,3.93,0,1.96,0,3.93
 84-94,0,0,3.19,22.3,3.19,0,265.51,1.06,0,37.17,7.43,0,1.06,1.06,1.06,14.87,0,18.05,1.06,2.12,1001.5,0,38.23,41.42,0,0,3.19,1.06,0,67.97,13.81,0,0,2.12,0
 96-106,0,0,4.37,10.93,4.37,0,226.22,0,0,38.25,5.46,0,5.46,3.28,1.09,37.16,5.46,32.79,2.19,1.09,810.89,0,56.83,40.44,0,1.09,3.28,1.09,0,36.06,15.3,0,3.28,1.09,2.19
108-118,0,0,3.06,16.85,1.53,0,197.62,0,0,22.21,2.3,0,3.06,0.77,0.77,26.04,1.53,28.34,1.53,0.77,953.62,0,29.87,25.28,0,0.77,2.3,0.77,0,28.34,25.28,0,2.3,0.77,0
120,0,0,5.88,27.44,0,1.96,174.42,1.96,3.92,19.6,1.96,0,9.8,0,0,17.64,0,13.72,1.96,0,1164.11,1.96,19.6,25.48,0,0,3.92,1.96,0,23.52,11.76,0,1.96,1.96,0
