stage,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,glial,gut,ionocyte,lateral_line,liver,mesenchyme,neural,olfactory,otic,periderm,spinal_cord,taste
  7-9,0,0,0,0,2.63,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0.82,0.82,0,1.64,0.82,0,0,1.64,0
 36-46,0,0,0,0,0.81,0,0,0,0,0,0.81,0,0,2.42,6.45,0,0.81,0,0
 48-58,0,0,0,0,0,0,0,0,0,0.57,0.57,0,0.57,3.44,2.87,2.3,0,1.15,0
 60-70,0,0,0,0,1.96,0,0,0,1.96,0,1.96,0,0,0.98,3.93,3.93,0,0,0
 72-82,0,0,0,0,16.69,0,0,0.98,0,0,1.96,0,0,0,8.83,4.91,0,0,1.96
 84-94,1.06,1.06,0,1.06,15.93,0,0,0,1.06,1.06,4.25,0,0,3.19,6.37,11.68,0,0,1.06
 96-106,0,1.09,1.09,0,28.41,1.09,0,0,0,2.19,12.02,0,0,2.19,8.74,19.67,1.09,0,3.28
108-118,0.77,0.77,0,0,25.28,0,0,0,0,0,8.43,0,0,1.53,5.36,14.55,0.77,0,0.77
120,0,1.96,1.96,0,43.12,0,1.96,0,0,0,9.8,0,1.96,1.96,11.76,15.68,0,0,1.96
