stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,5.26,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,57.83,0,0,0,23.66,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,0,3.15,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.09,0,0,0,22.03,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,17,9,0,10,0,0,0,11,0,0,0,0,1,0,0,3,0,6,131,0,0,3,3,0,3,21,2,0,11,44,0,0,0,0
 24-34,0,0,0,5.75,0,0,21.34,0,0,0,3.28,0.82,0,0,0.82,0,0,0.82,13.95,0,5.75,168.28,1.64,1.64,2.46,0,0,4.1,0,0,0,2.46,45.97,0,0.82,0,0
 36-46,0,0,0,3.22,0,0,33.84,0,0,0,10.47,1.61,0,0,0,0,0.81,0.81,10.47,0.81,5.64,165.97,0,3.22,1.61,0,0.81,4.03,0,0,0,0,48.34,0,0.81,0,0
 48-58,0,0,0,0.57,0,0,51.64,0,0,0,17.79,0,0,0.57,0,0,0,0,24.1,2.3,4.02,114.76,0,1.15,0.57,0,0,1.15,0,0,0,0,24.67,0,1.15,0,0.57
 60-70,0,0,0,2.94,0,0,53.98,0,0.98,0,16.69,0,0,0.98,0,0.98,0,0,27.48,0.98,4.91,110.91,0,2.94,1.96,0,0,1.96,0,0.98,0,0,21.59,0,0,0,0
 72-82,0,0,0,2.94,6.87,0,25.52,0,0,1.96,17.67,0.98,0,0,0,0,0.98,1.96,33.38,3.93,6.87,107,1.96,4.91,0,0,0.98,1.96,0,0,0,0,13.74,0,5.89,0,0
 84-94,0,0,0,3.19,5.31,0,22.3,0,0,2.12,7.43,0,0,0,2.12,0,0,0,21.24,0,2.12,46.73,1.06,1.06,3.19,0,0,9.56,0,0,1.06,0,9.56,2.12,2.12,0,1.06
 96-106,0,0,0,7.65,1.09,0,19.67,1.09,0,2.19,10.93,3.28,0,2.19,2.19,1.09,0,2.19,20.76,1.09,4.37,38.25,1.09,1.09,3.28,0,2.19,13.11,0,0,0,0,1.09,0,4.37,1.09,1.09
108-118,0,0,0,9.19,3.06,0.77,9.19,0,0,1.53,13.02,0.77,0,0,0.77,0,1.53,0.77,19.15,0.77,3.83,38.3,0,0,2.3,0,0.77,4.6,0,0.77,0,0,1.53,0,3.06,0.77,1.53
120,0,0,0,9.8,0,0,7.84,0,0,3.92,9.8,0,0,1.96,1.96,1.96,0,0,23.52,0,3.92,48.99,0,0,1.96,0,0,7.84,0,1.96,0,0,5.88,0,0,1.96,0
