stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,144.96,2016.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0,0,0,0,0,0,0
  5-6,98.07,2494.76,0,6.13,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,79.69,0,0,0,18.39,0,79.69,0,0,0,0,0,0,0,0,0,0
  7-9,13.14,28.92,0,39.43,0,0,0,26.29,0,0,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,828.04,15.77,0,0,333.85,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,15.73,0,22.03,0,0,0,12.59,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,3.15,261.2,9.44,0,0,418.55,0,0,0,0,22.03,0,0,0,0,0,0,0
 14-21,0,2,0,11,152,146,0,45,0,15,0,3,6,0,9,0,0,0,1,0,1,118,1,0,142,168,5,0,10,4,0,4,1,234,1,30,451,70,0,74,0,0
 24-34,0,0,0.82,1.64,71.41,24.63,0,18.06,0,41.04,13.95,2.46,5.75,0,5.75,0,0.82,1.64,12.31,0.82,0,232.3,0,0.82,125.59,115.74,3.28,0.82,9.03,0,0,1.64,0,0,1.64,11.49,104.25,22.16,0,162.53,0,0.82
 36-46,0,0,0,0,16.92,5.64,0,41.09,0.81,10.47,23.36,1.61,0.81,0,5.64,0,0,0.81,5.64,0.81,0,207.86,0,16.11,75.73,50.76,3.22,1.61,3.22,0,0,3.22,0.81,0.81,1.61,12.09,0.81,16.11,0,67.68,0,0
 48-58,0,0,0,0,16.07,2.3,0,104.43,3.44,8.03,27.54,1.72,0.57,0,2.87,0,0,0,1.72,0.57,0,146.89,1.15,13.77,44.18,47.05,0,0,3.44,0,1.72,0.57,0,0,2.87,4.59,0,10.9,1.15,39.59,1.15,0.57
 60-70,0,0,0,0,8.83,0,0,125.63,0.98,5.89,31.41,0.98,0.98,0,3.93,1.96,0,1.96,4.91,0,0,124.65,0,15.7,29.45,43.19,1.96,0,1.96,0,1.96,0.98,0,0,0,11.78,0,5.89,0,41.22,2.94,0
 72-82,0,0,0,0,4.91,0,0,154.12,2.94,3.93,31.41,7.85,2.94,0,2.94,0.98,0,0,3.93,0,0,132.52,0,8.83,32.39,45.16,0.98,0,0.98,0.98,0,0,0,0,1.96,2.94,0,1.96,2.94,68.72,0.98,0.98
 84-94,0,0,0,0,8.5,0,1.06,73.28,2.12,6.37,30.8,4.25,2.12,0,2.12,1.06,2.12,3.19,3.19,0,0,88.15,0,11.68,21.24,16.99,1.06,0,1.06,0,0,1.06,0,0,1.06,3.19,0,4.25,1.06,50.98,0,2.12
 96-106,0,0,0,0,8.74,0,2.19,71.04,5.46,3.28,15.3,6.56,3.28,0,4.37,0,0,1.09,0,1.09,0,64.48,0,3.28,19.67,21.86,1.09,1.09,8.74,0,1.09,0,0,0,2.19,3.28,0,0,3.28,56.83,6.56,1.09
108-118,0,0,1.53,0,4.6,0.77,6.89,93.45,2.3,6.13,13.79,6.13,4.6,0,0,1.53,0,2.3,0.77,0.77,0,62.81,0.77,2.3,21.45,22.98,2.3,0,6.89,0,0.77,0.77,0,0,2.3,6.89,0,2.3,0,30.64,3.06,1.53
120,0,0,1.96,0,17.64,1.96,3.92,64.67,3.92,9.8,11.76,17.64,19.6,0,1.96,0,0,3.92,0,0,0,47.03,0,11.76,11.76,52.91,1.96,0,9.8,0,0,0,0,0,1.96,5.88,0,0,0,56.83,1.96,0
