stage,axial,blastomeres,endoderm,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,gut,ionocyte,muscle,neural,paraxial_mesoderm,periderm,spinal_cord,vasculature
  3-4,13.18,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,5.26,0,5.26,0,0,0,0,0,0,21.03,13.14,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,37.76,9.44,0,0,0
 14-21,0,0,0,0,0,0,0,0,1,1,0,4,0,0,1,0
 24-34,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0.82,0.82
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0
 48-58,0,0,0,0.57,0.57,0.57,0,0.57,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0.98,0,0.98,0,0,0,0,0.98,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0,0,0.98,0.98,0,0,0,0
 84-94,0,0,0,1.06,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,1.09,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0.77,0,0,0,0,0,0.77,0,0,0,0
