stage,endoderm,epidermis,eye,glial,heart,lateral.line,mesenchyme,neural,paraxial.mesoderm,spinal.cord,visceral.smooth.muscle
  7-9,2.63,0,0,0,0,0,0,0,2.63,0,0
 10-12,0,0,0,0,0,0,0,3.15,0,0,0
 24-34,0,0,0,0.82,0,0,0,2.46,0,0,0
 36-46,0,0,0,2.42,0,0,0.81,14.5,0,7.25,0
 48-58,0,0,0.57,6.31,0,0,1.72,14.35,0,6.31,0
 60-70,0,0,0,0.98,0,0,0,10.8,0,5.89,0
 72-82,0,0.98,0,1.96,0,0,0.98,5.89,0,1.96,0
 84-94,0,0,0,0,0,1.06,0,5.31,0,1.06,1.06
 96-106,0,0,0,3.28,1.09,0,0,3.28,0,0,0
108-118,0,0,0,1.53,0,0,1.53,2.3,0,0,0
120,0,0,1.96,1.96,0,0,1.96,3.92,0,0,0
