stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,42.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,59.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166.79,0,0,0,6.29,0,0,0,9.44,0,0,0,0,0,0,0
 14-21,0,0,1,45,6,0,41,0,0,0,2,0,1,9,0,3,0,0,0,1,165,0,0,64,526,1,0,27,0,0,0,1,6,0,105,0,0,0,0,1
 24-34,0,0,0,17.24,0,0,107.53,0,0.82,1.64,9.85,0,0,13.95,0,4.93,0,4.1,0.82,0,457.22,0.82,0.82,224.09,285.66,1.64,0,33.66,0,0.82,0.82,0,4.1,0,137.08,0,0,4.93,0,3.28
 36-46,0,0,0,3.22,0,0,364.16,0,0,8.06,15.31,0,0,9.67,0,1.61,0,0.81,0.81,0,465.68,0,5.64,270.7,135.35,0,0.81,14.5,0,0,0.81,2.42,1.61,0,157.91,0,1.61,2.42,0,3.22
 48-58,0,0,0,1.72,0.57,0,343.71,0,1.72,19.51,45.9,0,0,8.61,0,0,0,1.72,1.15,0,679.38,1.15,21.8,199.68,75.17,4.59,0.57,9.75,0,1.72,0.57,0,1.15,0,134.27,0,1.15,0.57,0.57,4.59
 60-70,0,0,0,2.94,0,0,251.27,0,0,11.78,90.3,0,0.98,5.89,0,0.98,0,1.96,1.96,0,923.61,0,39.26,129.56,34.35,0.98,0.98,7.85,0,5.89,0,0,0,0,37.3,0,12.76,0.98,7.85,0.98
 72-82,0,0,0,2.94,1.96,0,113.87,1.96,0,28.47,115.84,0.98,0,9.82,0.98,0.98,0,2.94,3.93,0.98,1182.9,0,63.81,126.63,45.16,2.94,1.96,12.76,0,20.61,0.98,0,0,0.98,17.67,0,42.21,1.96,41.23,11.78
 84-94,1.06,0,0,9.56,1.06,0,148.69,0,0,20.18,65.85,1.06,1.06,12.74,2.12,1.06,3.19,2.12,1.06,0,874.06,0,57.35,105.14,26.55,0,1.06,9.56,0,8.5,4.25,0,0,1.06,15.93,0,37.17,1.06,33.99,1.06
 96-106,0,0,0,6.56,3.28,1.09,115.84,1.09,2.19,21.86,75.41,0,0,6.56,4.37,1.09,0,4.37,0,0,593.42,1.09,55.74,72.13,34.97,1.09,0,10.93,0,19.67,2.19,0,2.19,0,6.56,1.09,19.67,1.09,48.09,3.28
108-118,0,0,0,1.53,0.77,0,109.53,0,2.3,16.09,49.02,0,0,7.66,2.3,0,1.53,0,3.06,0,428.94,0.77,42.89,55.92,16.85,0.77,1.53,8.43,0,22.21,0.77,0,0,0,3.83,0,19.15,0,27.57,10.72
120,0,0,0,9.8,1.96,0,54.87,0,1.96,5.88,27.44,0,0,7.84,1.96,0,0,1.96,0,0,297.89,0,31.36,23.52,13.72,0,0,13.72,0,25.48,1.96,0,0,0,0,0,11.76,0,35.28,5.88
