stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,23.66,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,17,1,0,0,0,1,3,0,0,2,1,0,0,0,0
 24-34,0,0,0,2.46,0,0,9.03,0,0,0,1.64,0,0,0,0,0.82,0,3.28,0,2.46,32.83,0.82,0,0.82,0,0,0,0,0,2.46,8.21,0,0,0,0
 36-46,0,0,0,0.81,0,0,8.06,0.81,0,0,1.61,0,0,0,0.81,0.81,0,8.86,0,1.61,17.72,0.81,0,0,0,2.42,0,0,0.81,0,8.86,0,0.81,0,0
 48-58,0,0,0,1.15,0,0,10.9,0,1.15,0,4.59,1.15,0.57,0,0,0,0,7.46,0,2.3,20.08,0,0.57,0,0,1.15,0,0,0,0,2.87,0,0,0,1.72
 60-70,0,0,0,0.98,0,0,18.65,0.98,0,0,0.98,0,0,0,0,0,0,12.76,0.98,0.98,17.67,0,0,0,0,0.98,0,0,0.98,0,0.98,0.98,0,0,0.98
 72-82,0,0,0,0.98,0,0,7.85,0,0,2.94,4.91,0,0,0,0,0.98,0,15.71,0,0,31.41,0,0,0,0,0,0,0,0,0,0.98,0,0.98,1.96,0
 84-94,0,0,0,3.19,0,0,7.43,0,0,1.06,2.12,0,0,1.06,0,1.06,1.06,7.43,0,1.06,9.56,0,1.06,1.06,0,0,0,1.06,0,0,1.06,1.06,2.12,0,0
 96-106,0,0,0,0,0,0,3.28,0,0,0,5.46,0,0,0,0,1.09,0,3.28,1.09,2.19,4.37,0,0,0,0,0,0,0,0,0,1.09,0,0,0,1.09
108-118,0,0.77,0,1.53,0.77,0.77,3.06,0,0,0,4.6,0.77,0,0.77,0,1.53,0,9.96,0,0.77,13.02,0,0,0,0,0,0,0,0,0,0.77,0.77,1.53,0,0.77
120,0,0,0,0,0,0,3.92,0,1.96,3.92,1.96,0,0,0,0,0,0,1.96,0,1.96,19.6,0,0,0,0,1.96,0,0,0,0,1.96,0,1.96,0,0
