stage,blastomeres,erythrocytes,eye,glial,hatching.gland,heart,immune,muscle,neural,paraxial.mesoderm,somites,spinal.cord
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,2.63,0,0,0,10.51,2.63,0,0
 10-12,3.15,0,0,0,0,0,0,0,12.59,6.29,0,0
 14-21,0,0,0,0,0,0,0,0,2,0,1,1
 24-34,0,0,0,0,0,0,0,0.82,1.64,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,1.61
 48-58,0,0,0,1.15,0,0,0,0.57,0,0,0,0
 60-70,0,0,0,0,0,0.98,0.98,0,0,0,0,0
 72-82,0,0,0,0.98,0,0,0,0,0,0,0,0
 84-94,0,1.06,0,0,0,0,0,0,0,0,0,0
