stage,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,heart,immune,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,spinal.cord,taste,vasculature
 14-21,0,1,1,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,2,1,0,0
 24-34,0,0.82,0,0.82,0,0.82,0,0,0,0,0,0.82,0,0,5.75,0,0,0,0,0,0,1.64,0,0.82
 36-46,0,0,0,0,0,0,0,0,1.61,0,0,0,0,0.81,2.42,0,0,0,0,0,0,1.61,0,0.81
 48-58,0,0,0,2.87,0,1.15,0,0,0.57,0,0,1.72,0,0,6.31,0,0,0.57,0,0,0,0,0,0.57
 60-70,0,0,0,3.93,0,0,0,0,0,0,0,0,1.96,0,2.94,0,0,0,0,0.98,0,0,0,0
 72-82,0,0,0,6.87,0,1.96,0,0,1.96,0,0,2.94,0.98,1.96,14.72,0,1.96,0.98,0,0,0,0,0,0
 84-94,0,0,0,2.12,0,0,1.06,0,2.12,0,0,2.12,0,0,7.43,0,1.06,0,1.06,0,0,2.12,0,0
 96-106,0,2.19,0,5.46,0,1.09,0,0,1.09,1.09,1.09,1.09,0,0,4.37,0,0,0,1.09,1.09,0,0,1.09,1.09
108-118,0,0.77,0,6.89,0.77,1.53,0,0,3.06,0,0,0.77,0,0,5.36,0.77,0.77,0,0,3.06,0,0.77,0.77,1.53
120,1.96,1.96,1.96,1.96,0,0,0,1.96,1.96,0,0,3.92,0,0,7.84,0,0,0,0,9.8,0,0,0,3.92
