stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,1,0,0,0,1,1,1,1,6,0,0,0,0,0
 24-34,0,0,0.82,2.46,0,0,5.75,0,0.82,0,0,0.82,0,0,0,0.82,0,0,0,0,2.46,0,0,1.64,45.97,0.82,2.46,0,0,0,3.28,1.64,0,0.82,9.85,0,0,1.64,0,0.82
 36-46,0,0.81,0,2.42,0,0,14.5,0,0.81,0.81,0.81,0,0,0,0,0.81,0,0.81,0,0,3.22,1.61,0,3.22,57.2,2.42,3.22,0,0,0,7.25,1.61,0,0,24.17,0,0,4.03,0,0
 48-58,0,0,0,1.72,0,0,48.2,1.15,0,0.57,4.59,0,0,0,0,0,0,1.15,0,1.15,13.2,0,1.15,2.87,55.66,1.15,3.44,1.15,0,0,5.74,0,0.57,0,13.77,0,0.57,4.02,0,0
 60-70,0,0,0,1.96,0,0,101.1,1.96,2.94,0.98,7.85,0,0,0,0.98,0.98,0,0,0.98,0.98,19.63,0,0,0,82.45,0.98,1.96,1.96,0,0,7.85,0,2.94,0,4.91,0,0,0,0,0.98
 72-82,0,0.98,0,2.94,5.89,0,142.34,0,1.96,1.96,12.76,0.98,0,1.96,0.98,0,1.96,0,0,0,36.32,0,0,4.91,132.52,0.98,7.85,2.94,0,0,5.89,0,1.96,0,15.71,0.98,0,2.94,0,0
 84-94,0,0,0,13.81,6.37,0,105.14,1.06,4.25,3.19,14.87,4.25,0,1.06,2.12,2.12,0,2.12,0,2.12,18.05,0,2.12,3.19,62.66,2.12,1.06,4.25,0,0,42.48,1.06,3.19,0,11.68,0,1.06,5.31,1.06,2.12
 96-106,0,0,0,12.02,3.28,0,80.87,0,1.09,3.28,13.11,7.65,1.09,1.09,0,4.37,1.09,2.19,1.09,0,31.69,4.37,0,2.19,77.59,3.28,3.28,8.74,0,0,30.6,2.19,1.09,0,2.19,0,1.09,5.46,0,2.19
108-118,0,1.53,0,7.66,5.36,1.53,65.11,0,0.77,0.77,13.79,4.6,0,0,2.3,1.53,3.06,3.06,1.53,0,24.51,3.06,1.53,4.6,60.51,3.06,2.3,5.36,0,0.77,15.32,1.53,2.3,0,5.36,0.77,0.77,1.53,1.53,0
120,0,0,0,5.88,3.92,0,39.2,1.96,3.92,1.96,7.84,9.8,0,1.96,0,3.92,0,3.92,1.96,0,21.56,0,1.96,1.96,68.59,1.96,5.88,1.96,0,0,13.72,1.96,0,0,1.96,0,0,7.84,1.96,1.96
