stage,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
 14-21,0,2,2,0,3,0,0,0,0,0,0,0,0,0,0,3,0,1,94,3,0,0,3,0,0,2,0,0,8,0,0,0,0
 24-34,0.82,0,0,0,2.46,0,0,0,0,0,0,0,0,0.82,0.82,4.1,0,0.82,77.16,0.82,0,7.39,0,0,1.64,0,0,0.82,9.85,0,0,0,0
 36-46,0,0,0,0,20.14,0,0,0,0,0,0,0.81,0,0,0,5.64,0,0,90.23,0,0,4.83,0,0,0.81,0,0,0,18.53,0,0,0,0
 48-58,0,0,0,0,100.42,0,0,1.15,0,0,0,1.72,0,0,0,10.9,0,0,102.71,0,0,8.03,0,0,0,0,0,0,28.12,0,0,0,0
 60-70,0,1.96,0,0,167.84,0.98,0,3.93,0,0,0,0,0,0,0,8.83,0,0,117.78,0,0,18.65,0,0,0.98,0,0,0,18.65,0,0.98,0,0
 72-82,0,0.98,0,0,244.43,0,0.98,1.96,0,0.98,0,0,0,0.98,0,12.76,0,0,185.53,0,0.98,43.19,0,0,1.96,0,0.98,0,11.78,0.98,0.98,0,0
 84-94,0,3.19,1.06,1.06,151.87,1.06,0,8.5,1.06,0,0,1.06,0,0,0,13.81,1.06,1.06,86.03,0,1.06,61.6,0,1.06,2.12,0,1.06,0,7.43,0,0,0,1.06
 96-106,0,3.28,1.09,1.09,143.16,1.09,0,10.93,0,0,0,1.09,1.09,0,0,4.37,1.09,0,83.06,0,0,66.66,0,0,2.19,0,0,0,3.28,0,0,0,1.09
108-118,0,2.3,1.53,0,134.04,0,0.77,18.38,0.77,0,0.77,1.53,0,0,1.53,8.43,0,0,106.47,0,0.77,56.68,0,0,0,0,0,0,0.77,0.77,0,0,0
120,0,3.92,0,1.96,197.94,0,0,33.32,0,0,1.96,0,0,0,3.92,7.84,0,0,164.62,0,1.96,68.59,0,0,0,0,0,0,11.76,0,0,1.96,0
