stage,epidermis,eye,fin_epithelia,glial,ionocyte,lateral_line,liver,mesenchyme,neural,olfactory,paraxial_mesoderm,periderm,spinal_cord,taste
 10-12,0,0,0,0,0,0,0,0,6.29,0,3.15,0,0,0
 14-21,0,0,0,0,0,0,0,0,2,2,0,0,1,0
 24-34,0.82,0,0,0,0,0,0,0,18.06,0,0,1.64,0.82,0
 36-46,0,0,0.81,0,0,0,0,0,53.17,2.42,0,0.81,0,0
 48-58,0,2.3,0,0.57,0,0,0,0,14.92,0.57,0,0,0,0
 60-70,0.98,0,0,0,0,0,0,0,6.87,3.93,0,0.98,0,0
 72-82,0.98,0,0,0,0.98,0,0.98,0.98,16.69,0,0,0,0,0
 84-94,2.12,0,1.06,0,0,0,0,0,11.68,1.06,0,3.19,0,0
 96-106,4.37,3.28,0,0,1.09,2.19,2.19,1.09,9.84,4.37,0,2.19,0,1.09
108-118,3.06,0,0.77,0,0,0.77,0,0,8.43,4.6,0,4.6,0,5.36
120,7.84,0,0,0,0,0,0,0,3.92,5.88,0,0,0,1.96
