stage,blastomeres,epidermis,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,6.29,0,0,6.29,0,0,0,6.29,0,0,0,0
 14-21,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,9,6,1,0,0,0,1,5,294,655,1,0,0,0
 24-34,0,0,0.82,50.89,0,0.82,0,0,0.82,0,0,0,0.82,2.46,0,19.7,36.12,0,0.82,0,0,4.1,0,73.06,347.22,7.39,0,0.82,0
 36-46,0,0.81,6.45,39.48,0,0,0.81,0,0,0,0,0,0,0.81,0,6.45,14.5,0,0,0,0,0.81,0,20.14,9.67,4.83,0,0,0.81
 48-58,0,0,2.3,26.4,0,0,0.57,0,0,0,0,0,0,2.3,0,9.75,13.2,0,0,0.57,0,0.57,0,8.61,0,0.57,0,0,0.57
 60-70,0,0.98,2.94,27.48,0.98,0,0,0,0,0,0,0,0,0.98,0,11.78,13.74,0.98,0,0,0,2.94,0,10.8,0,0,0,0,0
 72-82,0,1.96,0,22.58,0,0,0,0.98,0,0.98,0,0,0,1.96,0,9.82,5.89,0,0,0,0,0,0,4.91,0,0,0,0.98,0.98
 84-94,0,0,7.43,30.8,1.06,0,2.12,0,0,0,0,0,0,2.12,0,5.31,3.19,0,0,0,0,0,0,2.12,0,0,0,2.12,0
 96-106,0,1.09,3.28,28.41,1.09,0,1.09,0,0,1.09,1.09,1.09,0,2.19,1.09,9.84,6.56,0,0,0,0,1.09,0,1.09,0,0,1.09,0,0
108-118,0,0.77,0,13.02,0,0,0,0.77,0,0.77,0,0.77,0,0.77,0,6.89,1.53,0,0,0,0,0,0,6.89,0,0,0,0,0
120,0,0,7.84,9.8,0,0,0,0,1.96,0,1.96,0,0,0,0,5.88,1.96,0,0,0,0,0,0,3.92,0,0,0,1.96,0
