stage,axial,blastomeres,endoderm,epidermis,eye,gut,liver,neural,paraxial.mesoderm,periderm,spinal.cord,vasculature
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,42.91,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,15.77,2.63,0,0,0
 10-12,0,0,3.15,0,0,0,0,50.35,6.29,0,0,0
 14-21,0,0,0,1,0,0,0,25,0,0,1,0
 24-34,0,0,0,0.82,0,0,0,0.82,0,0,0.82,3.28
 36-46,0,0,0,0,0,0,0,0,0,0,0,0.81
 84-94,0,0,0,0,0,1.06,0,0,0,0,0,0
 96-106,0,0,0,0,0,1.09,0,0,0,1.09,0,0
108-118,0,0,0,0,0.77,2.3,0,0,0,0,0,0
120,0,0,0,0,0,0,1.96,0,0,0,0,0
