stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,14,15,3,0,1,0,0,0,1,0,6,0,0,0,2,60,0,18,31,0,1,0,0,0,1,0,0,2,8,0,0,0
 24-34,0.82,0,0,4.1,0.82,0.82,0,0.82,0,0,0.82,1.64,0,13.13,0,0,0,2.46,41.04,0.82,11.49,30.37,0,0,0,0.82,0.82,0,5.75,0.82,0,8.21,0,1.64,0
 36-46,0,0,0,0.81,1.61,0,0,5.64,1.61,0,0,0.81,0.81,10.47,0,0,0,2.42,16.92,4.83,0,19.34,0,0,0,0,2.42,0,1.61,0,0,10.47,0,0,0
 48-58,0,0,0,0,0.57,0,0,13.2,1.15,0,0,1.15,0,12.05,0,0,0,1.15,33.85,5.16,2.3,5.74,0.57,0,0,5.16,0,0,0.57,0,0,1.72,0,0,0
 60-70,0,0,0,0,0,0,0,12.76,0,0,0,0.98,0,10.8,0,0,0,0.98,48.09,19.63,9.82,14.72,0,0,0,7.85,0,0,0,0,0,1.96,2.94,0.98,0
 72-82,0,0,0,0,2.94,0,0,8.83,0,0,0,2.94,0,14.72,0,0.98,0,0,84.42,26.5,5.89,11.78,0,0.98,0,13.74,0,0,0,0,0,1.96,2.94,0.98,1.96
 84-94,0,0,0,0,2.12,0,0,5.31,0,0,0,1.06,0,12.74,0,1.06,0,0,61.6,13.81,9.56,8.5,0,0,0,6.37,0,0,4.25,1.06,0,1.06,0,1.06,0
 96-106,0,0,1.09,0,2.19,0,0,3.28,1.09,0,0,3.28,1.09,19.67,0,0,1.09,1.09,75.41,15.3,9.84,14.21,0,0,0,14.21,0,0,3.28,0,0,0,1.09,1.09,2.19
108-118,0,0,0.77,0,2.3,0,0,2.3,0,0,0.77,2.3,0,8.43,0.77,0,0,0,52.85,18.38,3.06,11.49,0,0.77,0,9.96,0.77,0,4.6,0,0,0,1.53,0.77,0.77
120,0,0,0,0,0,0,1.96,3.92,0,1.96,3.92,0,0,7.84,0,0,0,0,41.16,25.48,5.88,13.72,0,0,0,15.68,1.96,0,0,0,0,0,0,0,1.96
