stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,39.53,1106.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0
  5-6,0,183.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,5.26,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.29,0,0,0,5.26,7.89,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,15.73,0,0,0,15.73,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,185.67,3.15,0,0,15.73,6.29,0,0,6.29,0,0,0,0,0,0
 14-21,0,0,6,8,48,4,0,2,0,2,0,1,8,0,0,0,12,0,0,1,0,0,12,1,11,8,0,16,3,2,6,7,5,0,0,1,0
 24-34,0,0,4.93,11.49,24.63,0,0,2.46,0,0.82,0,0.82,4.93,1.64,0,0,18.06,4.93,1.64,3.28,4.1,2.46,41.86,0.82,52.53,15.6,0,52.53,0,0,4.1,0,11.49,0,0,3.28,0
 36-46,0,0,0,1.61,8.86,0,0,3.22,0,1.61,0,1.61,6.45,0.81,0,0,6.45,3.22,2.42,10.47,3.22,0.81,35.45,0.81,41.89,10.47,0,59.62,0.81,0,1.61,0,5.64,0,0,0,0
 48-58,0,0,0,0,8.61,0,0,6.31,0,0,0.57,4.59,1.72,2.3,0,0,4.02,2.87,1.72,18.94,2.87,1.15,25.82,0,26.4,9.75,0,22.95,0,0,1.15,0,5.16,0,0,0.57,0
 60-70,0,0,2.94,0,12.76,0,0,9.82,0,4.91,0,6.87,6.87,1.96,0,0,3.93,3.93,0.98,11.78,0.98,0.98,14.72,0,27.48,18.65,0,53,0,0,0,0,4.91,1.96,0,0.98,0
 72-82,0,0,11.78,0,10.8,0,0,9.82,0,0.98,0.98,12.76,20.61,2.94,0,0.98,12.76,8.83,3.93,28.47,7.85,3.93,23.56,0,45.16,27.49,0,32.39,0,0,5.89,0,0,9.82,0,1.96,0
 84-94,0,0,7.43,0,29.74,0,0,3.19,1.06,4.25,1.06,4.25,32.92,3.19,0,0,10.62,6.37,4.25,18.05,2.12,5.31,22.3,1.06,39.3,15.93,0,124.26,0,0,8.5,0,3.19,27.61,1.06,3.19,1.06
 96-106,0,0,7.65,0,29.51,0,1.09,13.11,0,2.19,0,4.37,44.81,1.09,1.09,3.28,7.65,14.21,6.56,20.76,13.11,0,21.86,0,72.13,29.51,0,95.08,1.09,0,4.37,0,7.65,27.32,0,3.28,2.19
108-118,0,0,3.83,0,18.38,0.77,2.3,5.36,0,5.36,0,5.36,29.11,0,0,0.77,16.85,7.66,10.72,13.79,8.43,1.53,26.04,0,44.43,20.68,0,70.47,0,0,1.53,0,6.13,45.96,0,3.06,0
120,0,0,0,0,23.52,0,0,1.96,0,3.92,0,5.88,19.6,0,0,1.96,13.72,9.8,3.92,15.68,1.96,3.92,13.72,0,31.36,15.68,0,54.87,0,0,3.92,0,1.96,19.6,0,0,0
