stage,blastomeres,eye,glial,gut,mesenchyme,mural_cell,neural,pgc,somites,spinal_cord
  3-4,13.18,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0
 14-21,0,0,0,0,0,0,2,1,0,2
 24-34,0,0.82,0,0,0,0,0.82,0,0.82,0.82
 36-46,0,0,0,0,0,0,4.83,0,0,0.81
 48-58,0,1.15,0,0,0,0,3.44,0,0,0.57
 60-70,0,0.98,0,0.98,0,0,7.85,0,0,0.98
 72-82,0,0.98,0,0,0.98,0,4.91,0,0,0.98
 84-94,0,1.06,0,0,0,0,2.12,0,0,0
 96-106,0,2.19,0,0,1.09,0,3.28,0,0,1.09
108-118,0,1.53,0,0,0.77,0.77,3.83,0,0,0
120,0,0,1.96,0,0,0,1.96,0,0,0
